PublishedAt,Comment
2020-04-10T04:42:59Z,"Queen Elizabeth of the Royal Throne💫✨☔🚥🚦⚓🎯🕯️🧤🧣🧦🧥🎩☂️❤️🧡💛💚💙💜🖤 🔥 chimney. <a href=""https://youtu.be/HTUq3Ik1GHM"">https://youtu.be/HTUq3Ik1GHM</a>"
2020-04-09T10:08:57Z,Still no mask and he’s certainly not safe distancing
2020-04-08T14:30:30Z,"WAY MORE PEOPLE DIE OF TB EVERY YEAR, WHY DIDN&#39;T THEY SHUT THE WORLD DOWN FOR THAT, THIS IS B.S ENFORCING MEDICAL MARTIAL LAW TO USHER IN THE NWO AND TAKE AWAY PEOPLE&#39;S RIGHTS, THIS ISN&#39;T GOING TO FLY AND NO ONE WANTS BILL GATES POISON VACCINES, WE ALL KNOW HE IS ABOUT POPULATION CONTROL!!"
2020-04-07T14:28:43Z,This &quot;PanDemic&quot; is total BULLSHIT. These people want to microchip the population....
2020-04-07T14:19:51Z,"may the world embrace the united kingdom and other countries, could someone give some punishment to china plz."
2020-04-07T13:57:38Z,KARMA BORIS KARMA!
2020-04-07T05:46:26Z,There is a hole in my window so I probably will die
2020-04-07T04:28:39Z,Queen Elizabeth is saying we will meet with our families again is that mean that we&#39;re all going to die from this I think this is just a government agenda
2020-04-07T04:16:26Z,Can you comb ur hair prime minister
2020-04-07T03:34:49Z,While on the other side of the pond...
2020-04-07T03:14:28Z,Let’s grab a tea in heaven and wait to see each other in another life
2020-04-07T02:04:39Z,STFU and just show the queens address. Nobody cares what your talking heads want us to think.
2020-04-07T01:46:27Z,The evil coronavirus attacks anybody... Please stay safe out there as much as you can. LORD have mercy.
2020-04-07T01:16:23Z,Doesn&#39;t Boris Johnson look like &quot;Harry&quot; from &quot;Dumb &amp; Dumber?&quot;  Prince Charles probably got it from having to shake hands with Boris. 🤔
2020-04-07T00:58:12Z,Looks like a deep fake
2020-04-07T00:42:26Z,Not an emergency visit?? He’s in ICU. Try to keep up!
2020-04-07T00:37:20Z,God save the queen and God save Boris Johnson!!!🇺🇸❤🇬🇧🙏✝️
2020-04-07T20:33:55Z,She ain&#39;t dying ever you good
2020-04-07T00:05:49Z,The LIZARD QUENN this is from Princess Diana who knows a lot secrets of the British Royal Family
2020-04-09T14:28:45Z,Enough with the bedtime stories.
2020-04-06T23:44:09Z,"&quot;looking back, we will be able to take pride on how we responded to this challenge.&quot;  Trump: I&#39;m proud (after countless deaths).  Reaction: Shameful"
2020-04-06T22:43:59Z,We will be with our friends again <br>We will be with our families again <br>We will meet again <br>She meant in heaven😢
2020-04-06T22:19:39Z,"She served in war, unlike draft dodger Donnie!"
2020-04-06T21:30:33Z,Anybody else feel very very hateful toward China?
2020-04-07T01:00:55Z,The Chinese Government and also the Media for not blaming them but instead jump on Trump when he says China Virus...
2020-04-07T14:16:29Z,@@wmoule Makes the world hate china more. We get the truth. They can never have trust.
2020-04-06T20:45:59Z,"GOD SAID, PRAY FOR THOSE IN. GOVERNMENT.<br>I GUESS IT&#39;S FOR US TO HAVE <br>LAW AND ORDER.<br>WE PRAY FOR THE QUEEN.<br>I KNOW SHE LOVES HER FAMILY<br>TOO!"
2020-04-08T18:32:43Z,Elvira Reis she is not what you think she is ask Putin. I hate to tell you this but she worships satan and she has been responsible for many children deaths. Understand we have all the proof. She goes down soon and the pope as well. She is also a Nazi
2020-04-06T20:41:55Z,"WE THINK WE ARE GOING TO LIVE FOREVER.<br>WHAT A MISTAKE!<br>IT DOESN&#39;T MATTER IF YOU&#39;RE<br>YOUNG OR OLD.<br>IT COMES...<br>THE ONLY THING I KNOW THATS REAL IS TO BELIEVE.<br>BILLY GRAHAM SAID, <br>ONLY BELIEVE!    <br>            JOHN <a href=""https://www.youtube.com/watch?v=WQuAbkXU7dQ&amp;t=3m16s"">3:16</a>"
2020-04-06T20:27:05Z,"Lies concerning Boris Johnson. He is very serious, else he wouldn&#39;t be in hospital."
2020-04-06T20:22:32Z,Wow she sounds like she is from the Hunger Games ......
2020-04-06T20:06:12Z,he has the antidote
2020-04-06T18:59:59Z,Our Lord lizard God bless her heart
2020-04-06T18:45:00Z,How touching 😳well if  I lived in  a castle with guards and servants I too would muster up some encouraging words for the much much less fortunate sheeple at such a time as this🥺
2023-02-28T18:37:12Z,"But nobody would be remotely interested in anything you have to say, unlike the Queen."
2020-04-06T18:38:48Z,<b><i>Omg 😳 so scary!! I hope Mr. Boris’s fever 🤒 goes down soon.. That is no joke!! &amp; OMG 😱 had no idea Prince 👑 Charles has it too...</i></b> <br><br><b><i>I hope they make recoveries as I’m hoping everyone else does too!! I am praying 🙏🏻 &amp; shedding tears 😭 for everyone..</i></b> <br><br><b><i>This is beyond terrifying!!</i></b>
2020-04-06T18:37:09Z,The great awakening.. The Storm..Q..wwg1wgA
2020-04-06T18:25:15Z,They talk about america. When her dogs bed is almost a million dollars but people are starving and dying. But get her dog is taken care of
2020-04-06T18:19:37Z,The Queen is healthy :D
2020-04-06T18:08:41Z,Globally &quot;We The People 🙏🏽 Shall Over Come This Together&quot; Stay home be safe Smile Always..Take care of yourself and your family 🤗 to all
2020-04-06T18:02:45Z,"From Taiwan:  I am truly sad about the big loss of lives from every country.  Only unity, trust, love, and support can help us defeat the unseen virus.  It&#39;s time to put aside all the fights, conflicts, and disagreements now.  Each person is responsible and has a role to make.  Protect you and your family and give out the fullest support who are fighting on the front lines."
2020-04-06T17:57:39Z,"When leaders, be they CEOs, presidents, or monarchs tell you there isn&#39;t any money, tell them where it is: <a href=""https://fsi.taxjustice.net/en/introduction/fsi-results"">https://fsi.taxjustice.net/en/introduction/fsi-results</a>"
2020-04-06T17:43:56Z,She will survive because she in iluminati.
