PublishedAt,Comment
2021-03-02T00:31:15Z,4 years wasted down the drain and the band plays on 😫
2020-09-11T15:06:05Z,Biden&#39;s supporters do not wear masks either.  Check it out:  Joe Biden full speech Detroit Michigan.  Not one person with a mask.
2020-09-01T18:35:11Z,hahahaha Go Trump! Risk death lol
2020-09-01T18:34:06Z,"BIG LOOTING , BIG RIOTING, ETC media says nothing!"
2020-09-01T15:10:26Z,"Playing the same losing game from 2016, Joy Reid isn’t tired of losing."
2020-09-01T01:22:41Z,Such a stupid lady...sad
2020-08-31T02:23:36Z,"Whatever the media tells you, do the opposite.<br>Whatever the media wants you to believe, believe the opposite."
2020-08-31T01:33:39Z,Must be nice too be covid free. Where is the Juice
2020-08-31T00:25:57Z,Trump and his Republican party are ignorant and stupid they will die for Trump and don&#39;t believe in science or medical healthcare.
2020-08-30T14:21:32Z,All rioters in the street had mask?You can&#39;t be hypocrate
2020-08-30T14:06:01Z,MSDNC like president Trump called it 🤣😂🤣😂🤣😂🤣
2020-08-30T08:32:32Z,I am gonna have to order more rain barrels to catch all the liberal tears that will be flowing on Nov 3 2020. Trump is gonna win in a landslide.
2020-08-29T21:45:05Z,"&quot;Joy Reid On Trump Downplaying COVID-19: There&#39;s No Politician I&#39;d Die For&quot; which is the reason for downplaying COVID-19; because there are very few who are willing to die for him and these are the federal employees called Secret Service Agents, who&#39;ve declared their willingness to bodily put themselves in harm&#39;s way to protect him. <a href=""http://www.youtube.com/results?search_query=%23djt"">#DJT</a> needlessly subjecting his Secret Service Agents to such danger proves he&#39;s &quot;utterly incompetent&quot; as per the words of his own Federal Judge elder-sister Maryanne Trump Barry and clinical psychologist niece Dr. Mary Trump.  May fellow American voters accordingly tell <a href=""http://www.youtube.com/results?search_query=%23impotus45"">#ImPOTUS45</a> &quot;You&#39;re fired&quot; on Nov 3rd by voting for the exact opposite instead of more <a href=""http://www.youtube.com/results?search_query=%23mourninginamerica"">#MourningInAmerica</a>. In the interim, these super-spreader events motivate us, the people of America, to redouble our efforts to rapidly find out at any given moment, including even while On-line, who among us are unwittingly contagious (i.e. pre-symptomatic or asymptomatic) in order to convince them to call their doctor and self-quarantine per their doctor in hopes of stopping this pandemic so that we can safely resume in-person gatherings here in the U.S."
2020-08-31T15:33:56Z,"@Elisa Castro , I am simply wonderfully hungry and hope you, Elisa, and others reading my comment at the top, also have a healthy appetite too. So how are you ?"
2020-08-31T16:40:03Z,"@Elisa Castro, your not being able to reply appropriately over the past 60 minutes since being greeted here means you, Elisa, are <a href=""http://www.youtube.com/results?search_query=%23statcovid19test"">#StatCOVID19Test</a> <b>*positive*</b> indicating that it&#39;s possible you&#39;re unwittingly contagious (i.e. pre-symptomatic) needing to call your doctor &amp; to self-quarantine per your doctor."
2020-08-29T19:19:49Z,"Why must this cult practice thier dead cult on our lawn? Doesn&#39;t it make you sick to see this? We&#39;re watching a mass murder, and we can&#39;t do anything."
2020-08-29T17:22:36Z,"Just because you are in a crowed,  does not mean you will get it."
2020-08-29T17:22:07Z,"Just because you are in a crowed,  does not mean you will get it."
2020-08-29T14:42:37Z,"Irresponsible behaviour, taking risks and some of them in the crowd may be infected."
2020-08-29T07:57:35Z,"<a href=""https://wirepoints.org/ignorance-about-covid-19-risk-is-nothing-short-of-stunning-research-report-says-huge-age-variance-wirepoints/"">https://wirepoints.org/ignorance-about-covid-19-risk-is-nothing-short-of-stunning-research-report-says-huge-age-variance-wirepoints/</a>"
2020-08-29T05:07:10Z,Was so concerned that the MSM pushing one lie after another for there Democratic friends and the Hollywood elite.   Blahaha.  now I see that they actually saved us.  They helped the Democrats dig themselves into such a huge hole there is no way out.  Completely eroding all credibility.  They have burnt themselves to the ground. <br><br>Job well done MSNBC<br><br>Good does conquer evil
2020-08-29T04:06:18Z,He has no boundaries. He needs a wall around himself!
2020-08-29T04:04:33Z,He doesn’t care if he gets people killed. He doesn’t value life!
2020-08-29T01:58:23Z,Look at your double standards.Unbelievable..so we&#39;re suppose to think like y&#39;all or we aient black we have our own opinions so it doesn&#39;t gel with yours so we&#39;re racist.Your IQNORANT.Your UNEDUCATED..YIUR A HOT MESS.
2020-08-29T01:25:27Z,These two MSDNC hosts are just horrible individuals.
2020-08-28T23:05:59Z,"Beyond the wanton disregard for even the most basic guidelines for minimizing Coronavirus transmission, let us not fail to be outraged by the use of <i>The People&#39;s House</i> for partisan political theater and propaganda.<br><br>First the state of North Carolina advised the Trump Campaign that they couldn&#39;t hold their planned RNC in Charlotte. Then Jacksonville, FL told the Trump Campaign that they couldn&#39;t hold the RNC there either. So, what does Trump do? He uses the White House to do what North Carolina and Jacksonville, FL wouldn&#39;t allow.<br><br>As he attempted to do with the G7 summit and the British Open, Trump manipulates, even violates laws in order to forcibly soothe his massive insecurities."
2020-08-28T22:32:51Z,"Negligence - failure to use reasonable care, resulting in damage or injury to another;  Mr. President you are guilty of negligence.  Why would I vote for you?"
2020-08-28T21:04:54Z,1500 prime juicy Trumpublican targets!!!! The virus demands their sacrifice!
2020-08-28T21:01:03Z,"I still remember the look on Joy Reid&#39;s face when she was told on a talk show, back in 2015, that Donald Trump was likely to win the Presidential election.  EVERY time I hear or read her name I remember that look and LAUGH OUT LOUD!!  She is such a joke."
2020-08-28T20:18:52Z,"Sure, it&#39;s a death cult!  Where have y&#39;all been!?<br>They&#39;re even better at voting than they are at self-sacrifice.  I hope America is paying attention...<br><a href=""http://vote.org/"">vote.org</a>"
2020-08-28T19:00:20Z,msnbc needs to stop putting this people air and get them mental help.
2020-08-28T18:53:04Z,"Jim Jones-The Guyana Massacre, in the case The RNC Massacre. So sad"
2020-08-28T18:12:30Z,Almost 5000 American Citizens died of COVID-19 over the 4 day RNC  Convention.  That&#39;s more than died on 911!  Time for a &quot;big change in Government&quot; people!
2020-08-28T17:18:06Z,THE ATONEMENT has come to America...THE CURE..love and respect to your fellow human beings...The rest of the world understands that!!!.. Ignorance and Arrogance will be your downfall..you will implode!
2020-08-28T16:46:01Z,"ALERT!! BELIEF IN THE &quot;PANDEMIC&quot; WOULD BE THE FIRST DOGMA OF THE NEW RELIGION ... <a href=""https://r-evolucion-revelacion.es/reseteo-social/"">https://r-evolucion-revelacion.es/reseteo-social/</a>"
2020-08-28T16:34:22Z,Clearly some people have forgotten that trump is just an impeached real-estate guy.
2020-08-28T15:51:47Z,"Why is Joy Reid still on the air?  Who is she? Ooooohhh, that’s right I’m sorry I forgot. This is MSNBC. They are desperate for something to talk so their three audience members can cry together. Trump 2020!"
2020-08-28T15:37:55Z,"Oh my god... 😂😂😂...Open your eyes<br>Trump doesn&#39;t care about 180,000+ deaths<br>The USA is chaired by an incompetent fool<br>Next USA election Please remove This Liar<br>😷😷😷😷 Shame On Trump 😷😷😷"
2020-08-28T14:56:15Z,"&quot;Cults of personality cannot look into the future, because they can’t control it.<br><br>Like all good authoritarians, Trump and his collaborators understand that the past is where they plant their flag.&quot; Trump is Bad for America.  <a href=""http://www.youtube.com/results?search_query=%23americaortrump"">#AmericaOrTrump</a> <a href=""http://www.youtube.com/results?search_query=%23voteblue2020"">#VOTEBLUE2020</a>"
2020-08-28T14:50:48Z,"I love our President Trump<br>Our Military , All Law Enforcement , &amp; Love America !<br>Godbless The USA 🇺🇸 <br>All these Anti-America People<br>Should be dealt with to the Highest Extent of the Law !<br>We are seeing a Cabal Coup <br>Against our Nation !<br>The Cabals Fake Media Propaganda should be dealt with as Well !<br>Their Anti-America 🇺🇸 <br>Propaganda misleading some of our Citizens .<br>Those pretending to be Protesters will be found for their Domestic Terrorism against our Nation !<br>Godbless our True American Patriots !"
2020-08-28T14:46:49Z,Trump 2024
2020-08-28T14:46:28Z,BIDEN 🔵 💯💪 🇺🇸 HARRIS
2020-08-28T14:43:43Z,"Are we bitter and angry, Joy ?  LOL That was a speech by a racist girl, that hates America..Case closed !<br>I see why the <a href=""http://dem.party/"">Dem.Party</a> is such a mess.They got people like Joy Reid, Donna Lemon,Richard Maddow and sissy Chrissy Cuomo preaching fake news nonsense to the people.. The <a href=""http://dem.party/"">Dem.Party</a> will collapse after the election in November..It&#39;s just a anti-American,socialist mess !  They can&#39;t do ANYTHING, but call people racists..It&#39;s not working at all !!!"
2020-08-28T14:39:17Z,"Dear Joy Reid..Please shut up !   We laugh at you and Richard Maddow..MSNBC is the laughing stock of America !  Joy Reid is a bitter, angry racist, that is upset, because nobody wants anything to do with their lame hate filled socialist message !  The <a href=""http://dem.party/"">Dem.Party</a> is a mess, and near death ! [ Thank God]"
2020-08-28T14:38:27Z,"Trump&#39;s RNC Speech was long boring and he mentioned Joe Binden almost 50 times!  <br> No new Platform so same old from crap as the last four years!  Trump will lose it&#39;s an undeniable certitude"
2020-08-28T14:35:46Z,Trump won&#39;t be happy until he kills us all.
2020-08-28T14:26:12Z,Spot on Joy.
2020-08-28T14:04:35Z,Pack the Sardines in. Let them drink Trump&#39;s Kool-Aid.
2020-08-28T14:04:12Z,"Well it&#39;s official folks ! the pandemic is officially over per republicans stand the rest of us were just not notified and the dead well their dead, so  it is what it is !!!"
2020-08-28T13:53:34Z,Trump must be made to repay every tax dollar spent on his personal rally at the White House.
2020-08-28T13:45:27Z,"You have 182,000 deaths. 145,000 of those are seniors 65+. Most of those are Black, Latino, Native American, and poor. Likely not Republican voters. 70% of seniors vote regardless of party. Trump looks at this as dead Democrat voters - McConnell sees savings in &#39;entitlements&#39; ...  win-win to them. It&#39;s not stupidity ... it&#39;s a plan."
2020-08-28T13:43:54Z,A woman complaining about  The virus as she sits at a table with 3 women and doesn&#39;t wear a mask lol and says nothing about the thousands of protesters every single day spreading their virus around
2020-08-28T13:31:19Z,"Cosco requires mask , as does Walmart, Lowell&#39;s.  <br>What&#39;s sick is people taking mask off after entering."
2020-08-28T13:15:55Z,"I don&#39;t understand how his voters just allow him to put their lives in danger. Truly, it&#39;s beyond terrifying. It&#39;s obvious that those people attending haven&#39;t been affected personally by this virus. Well, they&#39;re literally dying to see their &quot;dearleader&quot;. God help their communities. It amazes me that the party doesn&#39;t care about killing off it&#39;s own voters. Again...it&#39;s beyond terrifying. There are no words to describe the disgust I have for those people. They&#39;re worse than he is and that&#39;s saying something, especially since my brother is one of them. Sad...that our family suffers because of that party conning people for so long and then being lead by someone who NEVER held their &quot;beliefs&quot;...I guess it really was just &quot;talking points&quot;. Wow. We have fallen so far so fast."
2020-08-28T13:11:09Z,"If this doesn&#39;t convince people that Adolf Benedict Trump and friends are the dumbest individuals on the entire planet and not worth voting for, then nothing ever will."
2020-08-28T13:10:38Z,"The clip (ad) that played before this segment showed Sen. McCain when he was running for president against Obama and when he explained to a woman who called Obama an &quot;Arab&quot; that NO he wasn&#39;t...that Obama was a good family man, a citizen of America but did it in a polite manner because the woman asked &quot;he&#39;s not?&quot; and thankfully Sen. McCain explained the he wasn&#39;t. Sad that such a gentleman (of any party) is forgotten in the muck of today. I never agreed with Sen. McCain&#39;s politics or positions on policies but he was a man that worked across the aisle. He is missed. He was the last of the Republican Party...it died with him. RIP."
2020-08-28T13:10:35Z,"The plandemic is over, why do you believe it&#39;s still going?  Because you&#39;re stupid and believe the lies on CNN, the only reason why you perpetuate it  is because you need him to lose.  Covid is not...repeat is not a death sentence, you CNN are the death cult, again CNN and its followers are a CULT.  CNN lies have caused more death on the streets of America in the last 3 months with their lies than everything else combined.  Let that truth sink in to you fools."
2020-08-28T13:10:23Z,"How many times has Julie been so very very wrong. Let me count the ways. One, two, three, four, five, six,....."
2020-08-28T12:50:38Z,"People in the land of the living…the Resistance, Fear Mongers, Lovers of<br>Abortion, Abuse, Homosexuality, Socialism, Homelessness, MS-13, Antifa,<br>Liberalism, Diversity, Trans Gender, Identity Politics, Journalism, Greed,<br>Political Correctness, Terrorism, Islam, Woke, Green New Deal, Scientism,<br>Lawlessness.  Those lost &amp;<br>deceived…yes, the Democratic Sect Party…are all about Pleasure, Power, &amp;<br>Avoidance of Responsibility…pathetic life principles they believe, practice,<br>&amp; bow down to.  One more TRUTH…there<br>all LESS THAN NOTHING."
2020-08-28T12:45:48Z,"Funny, I saw people protesting/rioting in Wisconsin not wearing masks or social distancing and no one brings it up"
2020-08-28T12:42:34Z,"Who TF watches this crap?  My God, brain dead zombies are going to be shocked Nov 4th when they wake up and realize Trump is their President for 4 more years."
2020-08-28T12:25:08Z,Im just here to watch ol muffin neck Joy Reid get all butt hurt and act like a crybaby.
2020-08-28T12:20:27Z,Trump 2024
2020-08-28T12:11:29Z,"Ma, Look! America has a royal palace now!....and we have a royal family!!"
2020-08-28T11:54:30Z,Things must be REALLY bad for MSNBC to admit a SECOND Term for Trump.<br>Just yesterday it was &quot;No way&quot; and &quot;Impossible&quot;.....and now it&#39;s &quot;Uh-Oh&quot;.
2020-08-28T11:54:05Z,"&#39;Narcissistic personality disorder&#39; is a mental condition. “Symptoms include an excessive need for admiration, an inflated sense of one’s own importance, an excessive need for attention, exaggerated achievements and talents, disregard for other&#39;s feelings, belittling other people to make one’s self appear superior, taking advantage of others to get what one wants, inability to handle criticism, a sense of entitlement, and a lack of empathy for others.”…..Remind you of anybody?"
2020-08-28T11:48:17Z,"Biden/Harris in 2020,help make china great again!🇨🇳 👍"
