PublishedAt,Comment
2020-04-01T09:56:06Z,"Why not send a ship with the right authorities,  and some test kits. Save who they can. That&#39;s Working Harder."
2020-03-29T18:46:21Z,Stop letting these people off..  make em wait 3 months..  if they infected they gonna go through isolation anyway at home..
2020-02-19T19:02:33Z,"Reality check!  I&#39;m not sure that the people on the ship, nor in the media understand the purpose of a quarantine.   It is to protect the people who are not on the ship from the people that are on the ship.  If no one in Japan contracted the virus from people on the ship then the quarantine worked."
2020-02-19T16:21:03Z,Welcome to Tokyo COVID19 Olympic.
2020-02-19T07:40:04Z,who ever have watch train to busan the situation is same u know wat i mean.
2020-02-18T13:19:45Z,I say we Bill Burr that ship...if u know what i mean
2020-02-14T07:58:35Z,STAY ON THE SHIP. FOR THE ENTIRE QUARANTINE PERIOD. <br>stop being selfish! You were already fortunate enough to be able to go on a vacation!
2020-02-14T04:40:58Z,Japan 🇯🇵 still continues to keep boarder open from mainland China anybody there before 14days... <br>Will Japan 🇯🇵 be Pandemic like China 🇨🇳 ?<br>Thank you PM Abe and Japanese government 🇯🇵 !!! They are not smart!!!
2020-03-22T15:33:55Z,"You are not smart either, AH."
2020-02-13T16:15:22Z,Being in a cabin won&#39;t stop the spread of a airborne virus.  Have they tapped every air duct?   Get real.
2020-02-13T16:13:10Z,Everyone on the ship has already been exposed.  No point in letting it spread further . Let it run it&#39;s course.  And no since in confining them to their cabins especially since they were exposed as soon as they boarded.  Duh!
2020-02-13T04:47:37Z,Abuse the crew - Vandalize the ship - Set it on fire if you have to
2020-02-12T05:21:44Z,Is it because this ship traveled to China or someone from wuhan China is on board?
2020-02-11T12:29:30Z,I hope all the corrupt democrats get the crown virus.
2020-02-11T11:36:19Z,Honeymoon under quarantine....something you would remember for the rest of your life.....
2020-02-11T10:41:19Z,"This kind of Coronavirus will have a serious medical urgency effect only for people doesn&#39;t take enough tropical brightday sunbathing.. !<br><br>For every early infected persons, just put them under direct tropical daylight sunbathing.. their sympthons will not be severe, and it will just like common flu.."
2020-02-14T09:21:09Z,Based on what?
2020-02-11T10:27:13Z,"I live In japan... I think its tough to be stuck on that ship in fear but a ship is literally an Ideal quarantining facility especially after the fact that all those needing quarantine are already on board. Staff and hazmat teams are scrubbing and disinfecting the Entire ship outside private cabins routinely. They also turned off certain air circulation equipment as it is winter. Its not Ideal but Its not rocket science to figure out why this is the best option. it doesnt help that some people can carry it and recover without showing any symptoms, while infecting others..."
2020-02-11T02:50:24Z,New-style coronavirus of Japanese Government<br>An infection measure in the ship is chaotic state.<br>The explanation of a government is the situation which can&#39;t be understood.
2020-02-11T02:01:44Z,That guy looks like Karev from Greys.
2020-02-10T20:59:40Z,"A new-style coronavirus measure of Japanese Government?<br>Foolish measures of the Ministry of Health and Welfare expand infection in the ship."
2020-02-10T20:35:35Z,Ventilation system is spreading it along with the sewage system! It will get worse before its over. This couple could be goners. They need to sink the Diamond Princess once the people are off to be sure it wont make anybody else sick.
2020-02-10T19:15:32Z,There so much NOT known about this Virus--if the person going back on board has a secondary infection and is continuing to take medications she should stay in quarantine in a special part of the hospital she&#39;s been treated at.  Going back to that Ship which clearly has infection on board is never a good idea.  Wow---this makes no sense
2020-02-10T19:11:09Z,After treatment go back on board!! WHY ???  If she is not a carrier why go back on board--why not just fly to China Wuhan and stay quarantined in a hotel room there.  Would not that make a little more sense.  Back on board--there is no way I would do that.
2020-02-10T19:10:12Z,"13 Murica tested positive, let&#39;s not wear masks and talk to each other in cruise ship to infect your husband/wife"
2020-02-10T19:03:45Z,"<a href=""https://www.youtube.com/watch?v=Kt_lP-6YXt0"">https://www.youtube.com/watch?v=Kt_lP-6YXt0</a><br>This song gives the solution for Coronavirus! China we love you! Please stay strong! Sometimes the solution is so easy!"
2020-02-10T19:01:08Z,The Diamond Princess should be taken out of commission---very unlikely that it will get future business unless Princess makes a special deal with the Wuhan Police officers and they can go party there.
2020-02-10T18:58:40Z,The ventilation system of any and all Cruise Ships spread air borne viruses better than any other conventional way.  What the heck were those professionals thinking.  Get everybody of that death Ship and place them in quarantine where the bad air is sucked out.  I&#39;m sure Japan must have empty warehouses somewhere on that Island.
2020-03-16T08:15:47Z,Why should our Japanese gov. have done such a thing for a foreign ship?
2020-02-10T18:18:12Z,200+ infected on one ship. There are more ships quarantined
2020-02-10T17:58:36Z,It’s so contagious it’s crazy just symptoms like a common cold and everyone knows how much those germs spread !! Watch myth busters y’all will be scared to death !!
2020-02-10T15:50:27Z,"Why gov still allow this kind of thing at this time and why ppl still go on it when its the perfect condition to spread a virus, I mean, staying long on a trip with so many ppl"
2020-02-10T15:26:56Z,Why don&#39;t Americans and Canadians call their embassy and get them out on next flight?
2020-02-10T14:56:48Z,They need to just burn it and rebuild 🤣
2020-02-10T13:56:00Z,"God wants that people who are rich and can, please build places in your houses to hide of a attack by virus, because in future US could be attacked by virus, China,   someone is creating studing virus and learning to create  virus, and uses a weapon  of virus, learning  how to uses virus too in a war against US  if they have the war, because virus is a type  insivible  weapon in a war that is invisible to human eyes"
2020-02-10T13:46:15Z,"&quot;CDC estimates that so far this season there have been at least 22 million flu illnesses, 210,000 hospitalizations and 12,000 deaths from flu.&quot; way bigger then this coronovirus already, and we suffer through it yearly.....that is 2019<br>&quot;It is estimated that the flu results in 31.4 million outpatient visits and more than 200,000 hospitalizations each year. During the severe 2017-2018 flu season , one of the longest in recent years, estimates indicate that more than 900,000 people were hospitalized and more than 80,000 people died from flu.&quot; 2018<br>&quot;The overall burden of influenza for the 2017-2018 season was an estimated 45 million influenza illnesses, 21 million influenza-associated medical visits, 810,000 influenza-related hospitalizations, and 61,000 influenza-associated deaths&quot; 2017<br>I am not saying it is good people die, I am not saying that I am not sad that people die...but I am saying that people are over estimating this virus.....even IF it was in the several millions infected, it would be far less then the common flu, for contagion, AND death rate. Unless this latest coronavirus is doing something else...it is just another distraction from more important things <br>btw 12000 deaths in one flu season breaks down to (avg season 13 weeks=91 days 12000/21) 132 a day every day for a little over 3 months.-2019 death rate   (879 a day for 2018, 670 a day- 2017), please note that 2019&#39;s season is not over yet, so 12000 may be far short by the end...although we are closing in on the end as it stands.<br>Info freely available from the CDC and was my source material"
2020-02-14T09:07:20Z,"Does the flu cause people to have walking pneumonia, and then to literally drop dead, after seizing up with convulsions? Uh, No. <a href=""https://www.youtube.com/watch?v=0mkUQXQ6TVc"">https://www.youtube.com/watch?v=0mkUQXQ6TVc</a>"
2020-02-10T13:35:41Z,"As I said, need to get people from dirty area. Before all of people to be infected. Quarantine area must be a virus free!! No sense policy."
2020-02-10T09:27:08Z,You making the biggest mistake of  your keeping the ship near the coast it&#39;s very dangerous virus can escape to manland and spread also vrius can fly and stay 20hr live   in air they should keep far from the costal area or middle of see bring them  in a container that virus cannot escape to mainland treat them properly ...I hope this message can save many life
2020-02-10T08:55:19Z,Some people recover completely withon a few days with proper care but others can possibly get worse and get pneomonia 1-2 weeks later. Its at least roughly all numbers are &quot;roughly&quot; cause its still a new and ongoing virus but based off the doctors and scientists they all roughly say its about 20% of people infected eith it will develop pneomonia within 1-2 weeks later.
2020-02-10T08:07:41Z,130 cases now confirmed. What is Japanese govt doing? Get everyone checked asap
2020-03-16T08:20:29Z,What about your gov. NOW?
2020-02-10T07:16:04Z,I think that ship needs some freedom.
2020-02-10T06:21:58Z,"Millions will die, prepare to isolate"
2020-02-10T06:10:51Z,Now there are 60 infected on that ship.
2020-02-10T05:35:09Z,"Those masks won&#39;t do anything, All those people are infected."
2020-02-10T05:08:41Z,I feel sick. I have the same symptoms of this virus.
2020-02-10T04:44:46Z,Hope you’re enjoying your honey moon. Better get quarantined another 14 days when you get back.
2020-02-10T03:33:54Z,It&#39;s seems as though it&#39;s coming through the vents guy&#39;s
2020-02-10T03:20:38Z,It&#39;s my Siri the Chinese government created the Coronavirus to thin out their population without any regard for the rest of the world
2020-02-10T03:20:13Z,"She is funny, the test for in sickness and in health.<br><br>What a honeymoon memory! They will need another honeymoon  after this."
2020-02-10T03:12:34Z,Dude I&#39;m currently sick<br><b>Better be the Flu and not corona</b>
2020-02-10T02:07:40Z,Air is circulated on cruiseships! Sleep on the balcony
2020-02-10T01:41:36Z,The entire ship passengers must be taken to a separated military hospital othervise they will release everyone after they all get sick
2020-02-09T23:37:01Z,Only democrats are dumb enough to contract this virus.
2020-02-09T23:30:14Z,Serves them right for burning fuel for pleasure.
2020-02-11T15:36:42Z,"and hacking our Experian...................<a href=""https://www.nytimes.com/2020/02/10/us/politics/equifax-hack-china.html?te=1&amp;nl=morning-briefing&amp;emc=edit_NN_p_20200211&amp;section=whatElse&amp;campaign_id=9&amp;instance_id=15891&amp;segment_id=21157&amp;user_id=b9512216608bfc0390ec7e0787af16b7&amp;regi_id=110141901ion=whatElse"">https://www.nytimes.com/2020/02/10/us/politics/equifax-hack-china.html?te=1&amp;nl=morning-briefing&amp;emc=edit_NN_p_20200211&amp;section=whatElse&amp;campaign_id=9&amp;instance_id=15891&amp;segment_id=21157&amp;user_id=b9512216608bfc0390ec7e0787af16b7&amp;regi_id=110141901ion=whatElse</a>"
2020-02-09T22:11:05Z,"Due to close proximity, communal dining, and confined spaces, cruise ships are a known breeding ground for infectious diseases. 🛳️🦠😷 <b>Cruise Ship Outbreaks:</b> Legionnaires disease, measles, norovirus, ebola and now Coronavirus."
2020-02-09T21:56:03Z,Cruise=14-day imprisonment
2020-02-14T09:27:50Z,"It&#39;s amazing how mere freedom, or the lack thereof, can totally flip the dynamic of staying in a ship cabin. Think about it, there have probably been people on cruises, that chose to stay in their cabins, and relax, for most of their journey. But, now, in forced quarantine, it becomes not much more than a prison cell. It&#39;s truly amazing how our minds can work against us."
2020-02-09T21:50:43Z,"Oh my God, the first American the world&#39;s going to end. God save us"
2020-02-09T21:16:08Z,"The WHO has posted a free 10-hour online course for anyone who wants to learn how to battle this. <br><br><a href=""https://openwho.org/courses/severe-acute-respiratory-infection"">https://openwho.org/courses/severe-acute-respiratory-infection</a><br><br>It&#39;s aimed toward third world countries, but I think it would be beneficial to anyone who wants to be as educated and as prepared as possible to deal with this. It&#39;s a free course, and knowledge is power... period. I know I&#39;m going to be taking the course. <br><br>I would advise printing out as much as you can of it. I personally don&#39;t want to completely rely on technology, so I&#39;m going to be printing out the pages and making my own booklet. <br><br>I&#39;d rather be over-prepared than underprepared."
2020-02-09T21:11:56Z,"Keep telling people, Nows the time to stock up on water and food like beans, rice, canned goods, because when this hits your little city or little town there may be a temporary shortage"
2020-02-09T19:22:24Z,i think non stop the virus keep spreading goshhhhh
2020-02-09T18:58:35Z,Virus has:<br>Water 2<br>Air 2<br>Genetic Reshuffle<br><br>Ports closed
2020-02-09T18:29:54Z,Are they going to burn the ship afterwards?
2020-02-14T09:20:19Z,Heard of bleach?
2020-02-09T18:25:11Z,"👫😷😷😷🤐 Wil POTUS DJTSr Boing extra tarifas for importas from China or Japón to protect American traveseras trapeo in the crujiste Shirley, and one edad? 😓😰😷😷😷😷😷😷🙀"
2020-02-09T17:41:03Z,"Anyone going to China or Asia right now , on a cruise ship is a complete clueless moron"
2020-02-09T16:53:49Z,they all will got virus. dont board japanese cruise. you will get virus. and they dont leave out you.
2020-02-09T18:43:02Z,hmm... Dream Princess is an US ship.  🤔
2020-02-09T16:36:39Z,"We are watching a pandemic movie in real time with hero doctors who passed away, thousands of people stuck on cruise ships, whole cities quarantined, hundreds dead, people being taken to quarantine centers to die.  This script has everything except Brad Pitt figuring out a cure in an incredibly lame and dumb scene."
2020-02-09T16:25:16Z,"Stick to river cruising, then you can escape. !"
2020-02-09T15:56:01Z,"13 Americans but no other nationality , how did they get this virus only 13 Americans , were they expose to it by who &amp; how"
2020-02-09T15:17:47Z,💖Thoughts and prayers 🙏
2020-02-09T15:07:11Z,Those with symptoms on one side of the boat separate?😷🤕
2020-02-09T14:54:45Z,China is the world&#39;s garbage
2020-02-09T14:17:37Z,This plague was planted! Wasn&#39;t environmental at all.. wake up people!!
2020-02-09T17:42:21Z,Magic Johnson invented aids you’re correct
2020-02-10T05:09:44Z,I agree with you
2020-02-10T06:12:33Z,Fact that there is HIV in the Virus this has shown man made! This is all by design. And who is connected to the lab where the outbreak happened? Gorge Soros.
2020-02-10T08:59:28Z,Who knows could be it happened in Cuba by America and I&#39;m American. Documents were leaked years ago and they eventually had to admit to those declassified documents. Everone knows about this. So who knows it could be possible from anyone.
2020-02-10T08:59:56Z,@@Inf7cted There are 4 proteins present actually.
2020-02-09T12:13:10Z,"Hey MSNLSD LIBS, TRUMP IS STILL PRESIDENT,  YOUR PRESIDENT!"
2020-02-09T11:58:42Z,"If I was quarantined on that boat, I&#39;d open the bar and tell the bartender to keep em&#39; coming. Dunno if its ur last drink ever"
2020-02-09T09:50:16Z,"Diamond Princess is a British cruise ship owned and operated by Princess Cruises ( British American cruise operator) <br>Japanese government is kindly taking care of all passengers, incl foreigners and trying to provide their needs, medicines, medical staffs etc. There are more than 200 Australian passengers on board , Thank you Japan for taking care of our people."
2020-02-09T17:09:14Z,have you seen the British couple aboard interviews? they are terrified and don&#39;t want the care from them. they are scared to enter their care
2020-02-09T20:06:45Z,"@@JMac-27 OK, then bring those selfish passengers back to the UK! <br>American and European passengers only keep complaining to our JP govt. and never show their thank u to us unlike other Asian passengers who express thank u to us during their locked ship life.<br><br>Also, one of our govt. officials killed himself due to the stress by handling complaints by the ppl who evacuated from wuhan, China!<br><br>Our govt. officials now have no time to go home to sleep, to support passengers onboard. We are not doing anything wrong!!!"
2020-02-09T09:40:23Z,thanks xijiangpeng
2020-02-09T07:45:33Z,wtf r u doing japan?
2020-02-09T07:19:33Z,"So the only way to escape and go back home is to get infected and test positive... as japan does not regard them as confirmed cases of japan, i dont think they are in good hands"
