PublishedAt,Comment
2021-05-24T18:45:43Z,"China 👿👿👹👺must be punished for CORONA, it&#39;s their turn to pay now😠😠😠 ,<br>UK , US has this power 😎😎"
2021-05-09T18:17:21Z,We all are in the home till right now <br>But what to do for our basic needs..<br>There is no salary for us because of lock down <br>And the govt is helpless so wher to go for money <br>Govt is not giving anything to us  <br>Rich people are living in home with every needs..
2021-05-09T10:00:59Z,"India hospitals have already collapsed. <br>Government hospitals no words required.<br><br>Recommendations required for admissions.<br>Some Doctors (only in this situation but not all) are giving up on covid due to recovery rate and no. of new patients.<br>Inadequate treatments,<br>No medicines that is proven to work. <br>Government is egoistic to get help from former rivalry countries.<br><br>We have seen it all in youtube itself. Only rest of the world can help.<br>Like if you agree."
2021-05-04T10:01:38Z,"No wonder they have a covid Tsunami. Look at their social distancing! We had the terrible South African mutation, but where very strict here about social distancing. Our hospitals never looked like this! India has caused its own problems."
2021-05-01T06:41:00Z,Please spend time to pray for India.
2021-05-01T05:07:23Z,india should become like china.
2021-04-30T15:26:40Z,America is sending help hope other countries are to. While prayers don&#39;t seem like much to some they are all i have.🙏🙏🙏
2021-04-30T14:55:22Z,"Hey, ABC WHY aren’t you talking about how it looks like PAYBACK for Firing on Chinese Planes???  It is really obvious, but you are not mentioning it.  WHY?"
2021-04-30T10:23:15Z,We just lost a famous news host in INDIA to covid :(     RIP Rohit Sardana
2021-04-30T10:01:17Z,Bullshit  “A Variet that is resistant to the vaccines” lol 😂 The vaccines is the killer
2021-04-30T06:10:53Z,"Correct your reporting. Kumbh Mela does not take place every year. It was scheduled for 2022, but moved forward to 2021 on the advice of astrologers over the advice of medical professionals."
2021-04-29T23:31:56Z,Thanks to the Chinese Virus
2021-04-29T17:45:21Z,All the best to the Indian people
2021-04-29T09:41:56Z,America is now alie of India..... But they have no mercy  for  india
2021-04-29T06:36:45Z,guys im thinking that india is now an anarchy
2021-04-29T01:57:23Z,But if they are going to 🏥 hospital how u know they are dayig for covid ? Bill Gattes planing....global vaccination it fix welll with India sickness.....pray that God expose the truth behind all this massmeddia manipulation.....help ti understand the truth
2021-04-29T00:49:16Z,GIVE INDIA MY VACCINE!!!
2021-04-28T19:50:02Z,"India is a great nation ! <br>Unfortunately, the Indian government has been captured by the thugs and corrupt politicians and profiteering. Brazil and many other countries are in similar situations."
2021-04-28T12:50:12Z,Tsunami is in your minds.
2021-04-28T11:42:38Z,"easy<br>Community participation<br>And<br>Administration will<br><br>Huge municipality corporation participation<br><br>Easily and will be implemented in next 7 days<br><br>When we will see cases cross &gt;5lakh / day , in next 10 days<br><br>1 asymptomatic case using AC can spread virus in community and as airborne in no time 1000 can be infected <br><br>All AC ( air conditioners ) in house / office / car / vehicles must be stopped<br><br>Apart from laboratory for proper testing <br><br>No other option left Infront us<br><br>Either we will stop it now or it will finish us all<br><br>We have to use every option available to thwart spread of Corona<br><br>We lack O2<br>Remdesevir<br>Hospital beds<br>ICU<br>Doctors nurses dying<br><br>So we have to all it takes to stop the spread<br><br>Stopping AC ( unless absolutely necessary as in laboratory for diagnosis )<br><br>Fine 5000 rs for not wearing masks <br><br>Next 15 days very vital<br><br>Act now<br><br>Or<br><br>Game over"
2021-04-28T08:28:49Z,"The US is finally stepping up to help India? US J&amp;J has had blood clotting issues and accidentally ruined 15M vaccines.<br>China has exported vaccines to 69 countries, arranged exports to 43 others including vaccines for Tokyo Olympians.<br>US has kept all their vaccines for themselves.   US 587,384    UK 127,451     India 197,880    NZ 26       When was America great?<br>Not wearing masks are why US Covid deaths is 587,384 while New Zealand is 26 with the last fatality in August last year."
2021-04-28T05:56:02Z,"Jangan banyak kuat tipu lah ... Najib... Helah yang sama mau Pakai dua kali ka...mau peras ugut duit rakyat lagi ka.. najib pengkianat bangsa sendiri , betul2 hipokrit, jijik.. pergi mampus lah阿弥陀佛🙏"
2021-04-28T04:12:51Z,My heart goes for India; we live together here in my community Virginia to be precise. I pray for God&#39;s speedy intervention.
2021-04-28T04:07:12Z,"Vaccines &amp; PPE&#39;s are good, but what about oxygen? Why aren&#39;t we loading up planes with O2 tanks, cpaps &amp; O2 concentrators now? God be with the Indian people."
2021-04-28T03:15:23Z,Flight ban.
2021-04-28T03:00:09Z,"WORSE IS YET TO COME:                                                                                                                                                                                                             I am so surprised when I do not see  Indian PM Mr. Modi not blaming Pakistan for a serge in COVID 19 cases in India.                                                                                                                                            The real serge and peak  of COVID 19 will come in India when  those  30 -50 Million people will arrive back from Khumb Maila Pilgrimage.                                                                                                                                                                                                                It looks as if India is ready to accept BHEAK (ALMS) from any one including Pakistan, isn&#39;t it?                                                                                                                                                                                                                 What&#39;s happening in India, Is it not a curse on India?"
2021-04-28T02:14:39Z,Thanks China 🇨🇳 🤦‍♂️
2021-04-28T00:43:58Z,I am so sorry for your suffering and my prayers are with you all.
2021-04-28T00:13:39Z,Biden sucks.
2021-04-27T22:31:18Z,"Total shame Mohdi should be thrown out, he is not handling Covid and letting his people die, after all he is known to be a human rights violations criminal so he is used to having blood on his hands. The Modhi fake media lies all is great but reality is the man cannot do his job and over the past few years masala media has pumped Modhi and India to be doing great under his leadership but it is all lies."
2021-04-27T19:32:18Z,"Is there really a devil group,developing and really propagating their bad deeds to humanity to control the population<br>Spraying it to the mass populace....asking blank question???"
2021-04-27T19:20:18Z,"Sad they are doing a black market of oxygen tanks.   People need to realize, families lives there all in one house.  Not many rooms.  If one gets sick, there is not another room to quarantine.  We know that covid spreads like wild fire.  Political events, etc..  Yes that played a large part in it.    Also, for other countries to realize that a second wave of this deadly disease is nothing to just shrug off.  Be prepared.  If you have to go buy your own oxygen tank, NOW is the time to do it.  Buy soap, more mask.  Now is the time to just pray, pray, pray."
2021-04-27T18:40:40Z,Stop defame India.....USA is NASA murderer
