PublishedAt,Comment
2021-06-07T02:31:23Z,"Intel report, check Fauci emails please. If your brain can handle the truth Joe."
2021-06-02T18:02:31Z,whoooooo caressssssss. We gonna go to war when we find out or something? We are over this hoax and it dosnt matter where it never came from.
2021-06-02T16:37:47Z,This was an act of war from China
2021-06-02T13:28:34Z,"Interesting that we fight wars in countries that aren&#39;t a direct threat to America, but hesitate to take action against countries which are a direct threat."
2021-06-02T07:59:17Z,War is coming
2021-06-02T04:44:08Z,Slavery is WHAT Maid this STOLEN country GREAT.... STOLEN land... STOLEN PEOPLE... STOLEN everything.... And on and on and on and ON....<br>..
2021-06-02T00:48:32Z,Biden is just trying to distract from what he is doing now with the covid so-called investigation and they are also putting out there about UFOs just to distract from what they are doing don&#39;t fall for it if they have no evidence of actual aliens or spaceships then don&#39;t let it distract you
2021-06-02T00:21:12Z,Obiden wants the information so it can disappear...
2021-06-01T23:27:09Z,Nobody cares when Biden talks
2021-06-01T22:40:21Z,Fox no count joe b. King. L.O.L CONSERVATIVES JOKES IN CANADA
2021-06-01T22:21:08Z,M
2021-06-01T22:17:43Z,Talk  to Dr. Li-Meng Yan
2021-06-01T22:00:30Z,Our government is controlled by the Jesuit Mason Zionist! All the government!!!
2021-06-01T21:33:31Z,how these democrats turn around their own misinformation is  ...........the ultimate in lying
2021-06-01T20:31:16Z,"The truth will be known! Pelosi,  Biden, kamala.  Obama,  Clinton,  many will be incarcerated for crimes against humanity.  Sedition.  Treason, crimes against America and transgressions against God. We are one nation under god!"
2021-06-01T20:25:00Z,I’m not American but I can’t believe that Americans voted for in this clown 🤡 Trump was robbed 👎
2021-06-01T19:47:51Z,How about just relieve our debt
2021-06-01T19:21:20Z,How about an Intel rpt on the catastrophic nightmare happening on our southern border? Why is lyin&#39;joe ignoring the problem? Why hasn&#39;t lyin&#39;joe closed the Mexican border? Why hasn&#39;t &#39;Heels-up&#39; harris taken charge of the gathering disaster?
2021-06-01T18:48:39Z,China deserves too get nuked☠️🦠🧟☄️💣🉐☣️☢️
2021-06-01T18:38:19Z,We owe China trillions of dollars. Now we have the opportunity to say “F You! We’re not paying. We’re Even now.”
2021-06-01T18:26:16Z,I love it when politicians claim &quot;they don&#39;t want this to happen again.&quot; What the hell were they doing pre-9/11? Pre-covid? Sitting on their hands? Getting kickbacks from our enemies? Pretending nothing is wrong instead of speaking up? Washington is nothing but horseshit.
2021-06-01T18:16:34Z,"Just like you crazy right wingers said, Biden is controlled by China. Stupid, stupid, stupid."
2021-06-01T17:40:58Z,<b>Will Biden be asking the guy he can&#39;t remember working for that agency he cant remember to investigate?</b>
2021-06-01T17:26:51Z,Also the  the fact they label people that speak out and actually ask relevant questions &quot;conspiracy theorists&quot; and saying that there bad people and are liars makes it very obvious that they must have an eliminate of truth and are clearly touching a nerve
2021-06-01T17:25:40Z,why is Biden so Xenophobic
2021-06-01T17:22:46Z,Ask fauci he knows
2021-06-01T16:17:58Z,"It never came from a animal or a lab. That’s why they will never find the smoking gun. Don’t believe me, keep listening, they will never pinpoint it’s origin; because it never existed from the beginning!!!"
2021-06-01T15:23:21Z,He should call for a report on hunter biden
2021-06-01T15:02:01Z,Trump was right again.
2021-06-01T14:53:25Z,Biden &amp; karmala is a joke ! All they care about is themselves!
2021-06-01T14:39:05Z,Biden probably gave the order on how to conceal the truth even more his intelligence agency is an oxymoron they&#39;re a bunch of f*<b>***</b> morons
2021-06-01T14:33:55Z,It&#39;s only a &quot;conspiracy theory&quot; until it comes true!
2021-06-01T14:15:20Z,Lets just hope that Biden&#39;s intel report on Covid-19 is managed like the Mueller&#39;s Trump impeachment probe?
2021-06-01T13:58:35Z,How many people believe covid-19 is a bioweapon?
2021-06-01T17:06:49Z,Bilha Mulemi what is a trumpard? Is that a new word?
2021-06-01T19:53:39Z,"Bilha Mulemi well, let me ask you this, I take it you are pro abortion?"
2021-06-01T13:56:06Z,"DO NOT TAKE THE EXPERIMENTAL, UNAPPROVED, UNLICENSED GENE THERAPY INJECTIONS!"
2021-06-01T13:34:00Z,Why are you guys mad when for 1.) Trump is the one who ended the pandemic program that the Obama administration created 2.) 500k of the 600k died under the Trump administration 3.) Your own party is voting against bills that would help Americans today. Complete B*<b>*SH*</b>
2021-06-01T13:28:58Z,Covid originated in Joe Biden’s full dirty diaper
2021-06-01T13:28:52Z,I lost idiot “friends” over saying this.
2021-06-01T13:22:23Z,After he scrapped the entire investigation that started during the Trump administration
2021-06-01T13:20:47Z,Biden works for China...were now importing oil from Iran...biden slole the election with his criminal buddies...everything he has done will b reversed..he is illegitimate.
2021-06-01T13:14:09Z,Shouldnt you have ffg one the DAY you won the nomination. The biggest story of the last 2000 years and you wait 7 months. What the hell? You didnt ask your buddy 17 months ago? What the hell joe. The flames were are melting your brain. What the hell.
2021-06-01T13:07:09Z,Just wait for the coverup on our end.
2021-06-01T12:59:34Z,"Ummm news flash:  there was in investigation going on that started under the Trump admin. &amp; Biden called it off.  Now, he says we are going to investigate....solely in an attempt to make himself look like a rock start &amp; say &quot;see what i did&quot;.  Nothing but a political move at best.  WAKE UP PEOPLE!!"
2021-06-01T12:50:47Z,Please response to the Spy cases on Germany....US seems quiet on this news.
2021-06-01T12:47:45Z,"doesn&#39;t take a lot of intelligence to understand the origins not only of pandemy now, but also of these super quick vaccines, if we&#39;ll look into sponsors of Wuhan lab."
2021-06-01T12:38:57Z,&#39;Beijing Biden&#39; calls for the intel report to  cover up origins of the &#39;China plague&#39; you mean......lol
2021-06-01T12:35:56Z,Intel report on COVID 19 origins within 90 days  and then.........no action taken.  Will go away.
2021-06-01T12:33:10Z,TO HELL WITH JOE BIDEN
2021-06-01T12:29:50Z,Bidens such a tool!
2021-06-01T12:26:24Z,Trump&#39;s failed presidency had a whole year and didn&#39;t do anything.
2021-06-02T18:04:20Z,finger pointer lol ughhh it was trump trump messed up everything. Now biden is proposing to tax 36 percent on me. nope. Ill move out of the country. You all finger-pointing need to wake up.
2021-06-02T18:50:50Z,"@@redlightrunner930 ok, see ya"
2021-06-01T12:25:43Z,This should be an embarrassment for the &quot;presidential&quot; office... this should have been the FIRST order of business when taking &quot;assumed control&quot; of the nation... Sleepy Joe and Commie Harris.. cowards.. freaking cowards..
2021-06-01T12:02:55Z,I remember a real president did this last year. Potato 🥔 head Biden won’t rattle ChYna. He’s weak. Threatened to take ChYna to task on COVID if he was president. He won’t…a living vegetable.
2021-06-01T12:02:21Z,NOW he calls for it. Can mainstream media actually ask him why he squashed the original inquiry/investigation? The one initiated by the Trump administration almost 8 or so months ago.
2021-06-01T12:00:12Z,Democrat finger prints on covid19...so no investigation... they will implicate themselves?? No way in hell
2021-06-01T11:45:49Z,President Donald Trump told us where it came from
2021-06-01T11:45:32Z,President Donald Trump told us where it came from. “Come on man”
