PublishedAt,Comment
2022-06-09T00:44:05Z,I ain&#39;t got to obey that
2022-06-09T00:43:45Z,I ain&#39;t ur slave nor his
2022-02-25T00:28:30Z,How stupid 🙄 i didn&#39;t even watched the program and the screen says <br>PLEASE LIKE BEFORE WATCH...UGHHHH🥵👎
2022-01-25T18:03:13Z,THE VACCINE OBVIOUSLY DOESNT WORK!   Why are they so pushy about wanting 100% of us jabbed?
2022-01-19T13:31:36Z,Its not about a virus is about CONTROL
2022-01-19T02:44:48Z,"Why does someone ask Fauci, did the fact that Covid19 was created by &quot;gain of function research &quot; help create the vaccine so quickly?"
2022-01-09T14:15:05Z,The dumb Democrat run states like New York are like prisons
2022-01-06T13:26:34Z,Dumbocrats!
2022-01-04T21:18:55Z,"As someone who is fully vaccinated, I&#39;m fine with no restrictions so all the idiots who don&#39;t think Covid is real can enjoy their experience with it.  Sure, more than 800,000 Americans have died.  But I&#39;m sure they&#39;ll be fine."
2021-12-30T23:46:30Z,"Advice to Trump supporters.  Rethink your views but most importantly hide your support of Trump, as you don&#39;t want the general public to realize what a total moron you are.  <br>When assessing job candidates for my company these are the easiest to screen out, as Trump supporters &amp; election results deniers are clearly a misfit for the science oriented thinking &amp; level of intellect we are seeking."
2021-12-29T04:28:42Z,Where is your mask a*<b>***</b>
2021-12-26T22:07:44Z,"I worked for NBC and its hispanic affiliate network as an associate producer long ago, and I almost got a job at CNN Atlanta but they are all a complete disappointment nowadays due to their lack of professional ethics on reporting  real news. I&#39;m very impress with FOX NEWS!!!! you guys are as real as news should be!!! Thank you!!"
2021-12-23T15:11:28Z,The Clown show hey Biden lock down the border so we can stop the spread and Dr doom and gloom should be fired.
2021-12-21T19:33:36Z,We let third world people some who wipe their butts with a bare hand into our country untested and unvetted. Biden is a danger to America
2021-12-21T04:03:12Z,One amazing observation is that this is the SECOND year that not a single person has been reported of contracting nor dying from the FLU.
2021-12-20T14:40:47Z,Just dont comply with Bidens alzheimers decisions
2021-12-19T10:21:13Z,The response from this administration  to Covid is out of proportion..<br>In the light of the fact that <br>the CDC officially shows that 647 000 people Americans die each year of heart disease in the US . And so if the pandemic is two years old and 800 000 deaths have occurred from Covid then it means only 400 000 per year … so that is more than 200 000 less deaths  per year from Covid than heart disease ..<br>We need to keep some perspective before inciting fear and division of our Nation.
2021-12-19T08:35:48Z,Delta Omicron = Media Control
2021-12-19T07:44:08Z,It A CRIME TO CREATE VIRUS
2021-12-19T01:10:43Z,Is dump Biden let’s all these people cross the borders and not make them take the COVID test but wants us to follow the law .enough is enough.but we have to protect ourself..
2021-12-18T21:39:14Z,"The CDC, CVS, Albertsons, McDonald&#39;s etc.. want longevity. They don&#39;t care about you (us). It&#39;s a systemic shift, not focused on health. It&#39;s focused on future profits (future pharma profits) by making us afraid to not follow the &quot;science&quot;."
2021-12-17T18:32:02Z,Shut the country down Joe!  Omicron will force you to eventually.
2021-12-15T23:11:29Z,Who did they ask to get the booster? Over 65 or everyone?
2021-12-15T13:57:23Z,"Just for the record...Just because the FDA, CDC and the Public Health Agency of Canada have found no issues with the vaccines, doesn&#39;t mean they are safe. Here&#39;s unassailable proof they aren&#39;t. — Steve Kirsch"
2021-12-15T11:32:58Z,Its not China its Red China
2021-12-15T11:31:44Z,All 3 of them are a joke.....Biden is far older than Ronald Reagan ever was even after Reagan had passed after 5 years
2021-12-15T11:28:22Z,Please save us from Brandon
2021-12-15T11:20:49Z,The democrats are setting up for mail in ballets in 2022. It’s much easier for them to cheat.
2021-12-15T06:48:22Z,"Dr. Fraudchi can f right off, go to jail already 😒"
2021-12-15T01:41:21Z,Covid is a billion dollar industry!! That&#39;s why it will never stop!!
