PublishedAt,Comment
2021-05-09T00:03:54Z,They keep him hidden and always. There&#39;s a reason for that go figure what it is
2021-05-05T23:51:38Z,Hello
2021-05-05T18:58:21Z,My fellow Americans.  Joe Biden here.  I again want to thank America for electing me President of Wyoming.  I stand here with my wife Kamala and sister Jill asking for your continued support for 1972 is going to be a great year for America!
2021-05-04T06:16:06Z,Cognitive Joe!  No!  Head board Harris (chuckles)...No!   Cookoo Cuomo....Heavens no!
2021-05-04T05:24:10Z,Come on Man he needs to Nap.  What a Joke 100 days of a fantastic disasters
2021-05-03T18:45:49Z,"Take away that girls hands and she won&#39;t be able to talk, she&#39;s a lot like Nutty Nancy!!! Just a couple years younger!!😂😂😂"
2021-05-03T16:36:12Z,Cause the Biden administration is lazy
2021-05-03T16:07:50Z,Uhhh huhh uhh huh &amp; They still couldn’t do a job. Uhh-Huh Uh-Huh
2021-05-03T16:04:58Z,Who really thinks Biden and Harris are working hard for us right now.
2021-05-03T14:19:23Z,I cannot stand her lies anymore.😡 I cannot wait until Pres. Trump is back in office.
2021-05-03T13:27:02Z,They don’t go to the border supposedly because of COVID. They suck
2021-05-03T07:16:32Z,They’re not going to change they lied 🤥 to the suckers that voted for them. Hey you get what you voted for I don’t feel bad for anyone.
2021-05-03T04:52:42Z,And Biden then puts the baby killer and mass murderer Cuomo in charge. Keep voting for Democrats.
2021-05-03T00:54:54Z,"He&#39;s very sick, he dont won&#39;t  infect American citizens, we thank you for for the that!!!"
2021-05-03T00:53:19Z,"Add you’re surprised by what? They don’t give a crap, their in charge and now doing what they want"
2021-05-02T23:42:23Z,Pathetic.  Getting paid to not do their jobs and take credit for what Trump already did.
2021-05-02T22:25:09Z,I miss you President Trump.
2021-05-02T19:03:00Z,"In other words, : Joe is too sleepy for that much in a week."
2021-05-02T16:47:16Z,"wow Jen, the longer you stay on the stage the more you wrinkling up like Pelosi."
2021-05-02T16:40:24Z,"Commander in Chief, Joe thought he was just the president lol"
2021-05-02T15:36:50Z,"What leadership, we don&#39;t have leadership at all."
2021-05-02T13:12:47Z,"Biden/Harris like the “free paycheck” concept. No work, no leadership. They are both a bad fad, joke."
