PublishedAt,Comment
2021-03-04T07:33:56Z,"Yea Mr Abbott should follow all the liberal states like mine and New york and Michigan that have almost double the mortality rates as Texas per 100,000 residents."
2020-07-19T23:11:55Z,All these socialists want is lock down.  I hope to God there are enough smart people out there to realize if you give these socialists a lock down it will never go away.  There will always be a reason.
2020-07-03T20:45:31Z,I guess you can never have enough tyranny... at least not according to Robert Francis...
2020-06-30T15:29:29Z,Take that political knee off your neck Abbott and think for yourself to do the right thing for your Texans! Make the minimum of mask wearing mandatory Statewide before you have more of a catastrophic epidemic on your hands! LEAD this great State to set an example and stick to it!
2020-06-30T12:51:08Z,Get em Beto!
2020-06-29T14:18:42Z,Yeah just keep everything shut down until the economy is completely destoyed. You might have lost your business or job. You might be homeless and hungry. You might lose eveything and go into debt. You might go without the healthcare you need because only coronavirus matters now apparently. But at least your government decreased the odds of you getting coronavirus. And if you go through all that and get the virus anyway. The politicians will just shrug and give you a insincere apology. None of them is losing their job or need to worry about income. Burn the village to save the villagers.
2020-06-27T21:02:38Z,Following Beto to victory in Texas for Democrats
2020-07-08T11:06:23Z,Virge Davila been there done that he nose dived.
2020-06-27T16:15:08Z,BEEEEETPOOOOOO!    IMAO!
2020-06-27T12:39:02Z,Did he age by 10 years since he dropped from his presidential campaign?
2020-06-27T12:24:56Z,"Beto you&#39;re in no position rn, no!"
2020-06-27T11:41:04Z,Is there an effort to start recall of Texas governor?
2020-06-27T11:39:40Z,it&#39;s the protestors fault
2020-06-27T11:32:35Z,MSNBC you should be ashamed to be called news. Your so biased. If the governor was a dem. Yall would be saying oh was doing what he thought was best for texas
2020-06-27T11:07:39Z,"Beto soy boy,  wtf is he on here for"
2020-06-27T05:10:53Z,"Governor Abbott should resign, he failed to listen to health professionals and risked the lives of his citizens. He&#39;s a Republican so he&#39;s doomed to fail."
2020-06-27T04:27:26Z,"TRUMP and his corrupt enablers are slowly dismantling the  CONSTITUTION before your very eyes, without any accountability or checks and balances."
2020-06-27T01:43:51Z,Has he not seen NY numbers?!
2020-06-27T01:42:22Z,He wants my AR 😂🤣
2020-06-27T00:58:09Z,"LMAO, get a better person to speak on this than BETO! He’s not liked so much here anymore, not after he started spouting about his gun control ideas. How about an actual person who has a stake in unseating Abbott? <br><br>Also, he is full of it. Yes, all regular ICU beds are full at TMC, and yet, Covid patients only account for 28% of that total. Every leader at TMC has insisted, they have a considerable amount of beds available before capacity is anywhere near  being overwhelmed. That’s why we shut down, to have time to build up supplies. It was never to shut down until there was no threat. <br><br>So, I feel like Abbott has done a good job, listened to experts, acted accordingly, but Texans need to up their game."
2020-06-27T00:22:34Z,Sounds like Texas is getting what they voted for.
2020-06-27T00:21:36Z,Texans better hope things in the ICUs don&#39;t become like Italy when doctors had to choose which patients got aggressive treatment and which were (essentially) left to die.
2020-06-27T00:20:24Z,"After listening to Beto, two words come to mind, and they aren&#39;t nice ones LOL It&#39;s always easy to criticize someone else, isn&#39;t it Beto, especially since he lost in the election. Wearing a mask in public should always be a person&#39;s personal choice. I don&#39;t want or need someone to feel they need to take care of me. That&#39;s my responsibility, not someone else&#39;s."
2020-06-26T23:53:21Z,What emergency care people waiting to stand and tell.the government that has to listen or will stop working.
2020-06-26T23:37:41Z,☑️ Fake news MSNBC now Solidify its Status as a Liberal Activist Network with Promotion of radical angry hate filled democrat Joy Reid.
2020-06-26T23:00:05Z,If the governor doesn&#39;t announce that they&#39;re going to shut schools down and go back on that by July 1st he should be removed from office
2020-06-26T22:50:36Z,"The U.S. Supreme Court – surprise surprise – as of 6:33PM tonight FLATLY REJECTED Texas’s effort to expand absentee voting by mail during the pandemic.  Hey, Supreme Court.  You’re way too predictable.  Throw us a surprise once in a while will ya?  Just to keep us on our toes?"
2020-06-26T22:49:33Z,"Lefties = we should give land back to natives , land doesn’t belong to anyone <br>Normals = if land doesn’t belong to anyone then why does it matter who occupies it ?<br><br>Lefties = we want open borders <br>Normals = if it wasn’t for open borders white man wouldn’t of taken the land from native Indian"
2020-06-26T22:39:15Z,Thanks for your screwed up leadership Abbott!   TEXAS YOU VOTED FOR THIS SH*T!
2020-06-26T22:33:07Z,"This is all on Bill Gates and his friends,  DO your homework it’s all black and white!! This was all planned so quit blaming innocent politicians for something we have never seen before!!!!"
2020-06-26T22:23:46Z,Beato will never be governor.
2020-06-26T22:09:36Z,A spike in cases not deaths
2020-06-26T22:05:42Z,"Texas Governor chose his “political interest” over people’s lives <a href=""http://www.youtube.com/results?search_query=%23staywokefolks"">#StayWokeFolks</a>"
2020-06-26T21:41:32Z,Why do democrates only look to blame and do not look forward how to move forward? Do you lack imagination on how to act?
2020-06-26T21:23:58Z,"And God said, &quot;Hmm...too many stupid people leading this country....I think a corona virus is what they need to weed them out.&quot;"
2020-06-26T21:17:11Z,How can these negligent governors go to sleep at night knowing their horrible decisions are causing people to die?
2020-06-26T21:14:38Z,Tf are they talking to a LOSER abt
2020-06-26T21:04:14Z,"Go, Beto!"
2020-06-26T20:55:28Z,I live in Texas. A coworker just walked into my office and told me &quot;They are shutting things down again...&quot; then she went on to blame the protests. I hate this place.
2020-06-26T20:54:08Z,all they care about is money
2020-06-26T20:52:55Z,"We, the Biden crowd support Fuci.<br>Strong! Always keeping American&#39;s Can do brilliance. Joe worked his life for Americans and stepped up to the Vise Presidency during a time when America had new and dangerous tasks to keep your and my families together in persue of happiness.<br>Today, Biden is going for the Presidency. His friends and colleagues support him. There is his love choice missing running up to step up the Stairs of the White House, the THE AMERICAN CITIZENS.<br><br>One more step!"
2020-06-26T20:46:22Z,"Abbott is a Trump stooge, a Trump Crony."
2020-06-26T20:44:04Z,Looks like the USA is gonna need those ventilators that you sent to other countries and said were a waste of money Trumpy.🤦‍♂️
2020-06-26T20:39:34Z,Vote out the murderous Trumpublican thugs.
2020-06-26T20:39:02Z,"America is the land of the free. If you feel safe enough to go outside and enjoy your life, go ahead. If you feel that it&#39;s not safe, stay home. There are some who support Trump that go outside, and some who stay home. Same goes for Biden supporters. Some go outside, some stay at home."
2020-06-26T20:37:44Z,MSNBC is worse than the virus 👍🏽 BLM👏🏾👏🏾👏🏾
2020-06-26T22:08:33Z,Lyn Ryall truth does matter!  MSNBC is fake noose 👍🏽👍🏽👍🏽
2020-06-26T20:35:51Z,"Maybe he should take some advice from new york&#39;s governor andrew cuomo who sent almost 6000 nursing home and assisted living residents to their deaths from coronavirus., while the Navy ship Comfort ( floating hospital ) docked at Manhattan sat almost empty."
2020-06-26T20:35:49Z,"Well, Texas does like to do things big."
2020-06-26T20:28:53Z,It could be something different. I don&#39;t want to just follow the guidelines
2020-06-26T20:28:25Z,"Everything the Dems do falls short. Thousands of elderly died in NY thanks to Cuomo&#39;s twisted policies, why doesnt MSLSD talk about that? Why? Because they are Democrat operatives posing as journalists, they are political hacks."
2020-06-26T22:15:21Z,"@@kc8605 FOX criticizes Dems and Republicans, MSLSD only criticizes Republicans which proves their news is politically motivated and agenda driven. Whens the last time youve heard any criticism from MSDNC about a Dem?"
2020-06-26T20:28:10Z,"Well, we told you so.."
2020-06-26T20:20:35Z,"For those red states...Yeah this Trump virus really sucks. The only thing you guys can do now is to vote him out. Because in the Republicans party,  have a limit on government assistance. Biden 2020."
2020-06-26T20:17:33Z,"Back in early 2017, I said that Trump will destroy the Republican party. It&#39;s happening LMAO."
2020-06-29T04:57:17Z,318tangie Explain to me why you felt the need to tell me your race? I could care less LMAO.
2020-06-29T13:35:02Z,318tangie LMAO.. LMAO...LMAO<br>I&#39;ll take a poll over your ignorant &quot;opinions&quot; anyday.
2020-06-29T14:28:39Z,"318tangie The polls also said the Democrats would take the House in 2018. Despite all the Trump rallies, Republicans lost more than 42 seats in the House. LMAO.<br>Remember you? I don&#39;t know you! You fail to provide any substance, just ignorant opinions."
2020-06-29T14:46:54Z,"318tangie Sure buddy sure. Good luck with your dreams coming true but remember this, they&#39;re just dreams LMAO."
2020-07-01T15:10:52Z,318tangie I&#39;ll be sure to come back here in November. Make sure you start practicing how to say President Biden
2020-06-26T20:15:01Z,OKLAHOMA Is spikes is been sticking up to but I just didn&#39;t hear  nothing about that on the MSNBC or fox news
2020-06-26T20:13:08Z,As a Massachusetts born and raised Texan.....the governor here is dumb as rocks. Why people voted for him or Ted Cruz boggles my mind. But here we are...
2020-06-26T20:13:00Z,"Hmmmmm all the republican controlled states that opened too soon are having spikes in the virus. I guess listening to anti-science Christian zealots and a b-level reality tv host wasn&#39;t the fool proof plan they thought. Who da thunk? <a href=""http://www.youtube.com/results?search_query=%23covidiots"">#covidiots</a> <a href=""http://www.youtube.com/results?search_query=%23flushtheturdnovemberthird"">#FlushTheTurdNovemberThird</a> <a href=""http://www.youtube.com/results?search_query=%23biden2020"">#BIDEN2020</a>🇺🇸"
2020-06-26T20:12:12Z,"Trump; &quot;When summer comes, it will go away!&quot;  It did not LIAR."
2020-06-26T23:37:28Z,What about 15 cases going down to zero.
2020-06-26T20:10:01Z,The sad thing is if the whole country had just taken this seriously from the beginning it would be safe to reopen right now!<br><br>Just look at every other developed country around the world. Instead the US will have to put up with many more months of Republicans digging their heels in and refusing to accept reality. Many more dead and devastating economic consequences.
2020-06-26T20:09:02Z,Looks like FORMER Texas Congressman Beto O&#39; Rourke is campaigning again. His fear campaigns rarely garner votes.
2020-06-26T20:08:49Z,"&quot;TRUMP THE LIAR&quot; w over 12,000 Fact checked Lies threw out the CDCs 128 page guidelines. He has and is withholding $140 BILLION, yes, Billion that is for testing and tracing. He said days ago; &quot; why do we need testing&quot;, So, where is that money? $140 Billion people"
2020-06-26T20:06:48Z,Republican leadership in Texas failed their constituents. They pleased donald and prematurely pushed people back to work to help his economy slogan
2020-06-26T20:05:25Z,I need all you politicians to stop complaining and do something this is getting out of control I just lost my Tia the covid-19 and she didn&#39;t even know this is enough our governor you need to slow things down  now it&#39;s all you Texans are seeing the numbers rice everyday I know that you have enough common sense to wear your mask social distance and stay home
2020-06-26T20:03:56Z,The Deplorable (now a noun) are hyperactive premature ejaculators.
2020-06-26T20:03:46Z,republican supporters should ask trump  to take in some covid infected supporters in to the white house to treat them.....hw would construct a new wall outside his bunker to keep them out
2020-06-26T20:01:40Z,Truly alarming
2020-06-26T19:59:04Z,"So sad ! Iam sure he listened to Trump,even sadder!"
2020-06-26T19:56:59Z,Come on Lone Star State! Pull off the upset in ‘20 and go blue!!!
2020-06-26T20:06:13Z,"We&#39;re trying.  Glimmer of hope:  ALL of my Republican friends have said they&#39;ll be voting for Biden.  I haven&#39;t convinced them on the down ballot yet, but, hey, progress."
2020-06-26T23:20:19Z,"Teddy  , 2020  nothing will shock me"
2020-06-26T23:23:05Z,Yeah ok ha
2020-06-27T11:15:17Z,@@DS-rt1ed you dont have any friends
