PublishedAt,Comment
2021-02-14T02:28:14Z,So the graphite composite was for reconditioning my geospatial Intel company i had opportunity with Susan and the new Baidu system so whoever started with me I have the admirals name that commissioned me with neffertiti Cleopatra and king tut grandma deals
2021-02-10T19:48:50Z,💯💩 🚫💉
2021-02-09T21:39:46Z,"Read, &quot;This Is A Bio-Attack Alert&quot;, by Dr. Robert B Strecker, a Medical Doctor with a PhD in Pharmacology who said, There Is No Proof Any Vaccines Cure Anything."
2021-02-09T21:19:29Z,"A lot of Governors are anti Homeschooling and now with all the online opportunities the same old role from the Republicans.. end homeschooling completely and send the kids to charter schools that are known to cost more to taxpayers and fail their students  as often as the not for profit schools.. GOPers are always for killing the Homeschooling... why is that?? WE want more not less resources and more at homeschooling.. if its Good enough for the Christian Tim Tebow, then it is Good enough for any Christian.. especially since the tally band types in USA have kids too and they send their (infected) kids to the same schools.. trying to infect all the non haters of USA.... <br>End the dumb white way of hand outs to the profiteers.. homeschooling is less costly to taxpayers..and more student teacher efficient.. <br>Homeschooling is not for every one.. a lot of rich clowns can not home school.. they r too lazy and sit on the couch and eat chips.. Poor kids r more able to handle the loads if there are resources.. rich kids are accidents ready made for an insurance payout with all the viruses out there."
2021-02-09T04:41:47Z,If teachers don&#39;t do their jobs then they should be fired.
2021-02-08T17:05:18Z,I wouldn&#39;t take that vaccine for anything period there DNA altering vaccines look up bill gates ID 2020 covid stands for certificate of vaccination identification
2021-02-08T05:39:34Z,"Cool, where are the schools going to get the funding to do what&#39;s needed?<br><br>I&#39;m curious :)"
2021-02-08T03:55:05Z,🦜🦜🦜🦜🦜🦜🦜🦜......😒😳👀
2021-02-08T03:04:54Z,Kids at home with mom and dad all day and night
2021-02-08T02:58:47Z,Never forget fox threw President Trump under the bus as cavuto and wallace played biden&#39;s piccolo like a master flutist.
2021-02-08T02:43:51Z,Get the vaccine to the teachers .. what’s so da m hard about that! Teachers are human beings someone’s child too! Sick of selfish people who only care about themselves and their lives..  get the vaccine to the teachers!
2021-02-08T02:23:03Z,"Yeah i have something to say,BIDEN SHOULD NOT BE IN OFFICE ( NEVER!) <br>PRESIDENT TRUMP IS OUR PRESIDENT! Oh sorry ,what were you talking about ?"
2021-02-08T02:12:36Z,An unbiased medical view by an actual Expert.
2021-02-07T23:51:27Z,My states schools have been open for most of the year with it being ok.
2021-02-07T23:36:09Z,THE VACCINES DON&#39;T WORK.  Look at the numbers.  There are many countries that are already questioning the vaccine&#39;s effectiveness.
2021-02-07T22:42:17Z,F teachers and mRNA jabs.
2021-02-07T22:39:08Z,"Lou Dobbs is a patriot, he loves this country and he wants to make America great again. That&#39;s why he had to be canceled. Highest rated show on Fox BTW... Leave comments on, get blasted, get ratiod. Fox you lost the right, trying to bend to the left. The left tricked you. Nobody wants you."
