PublishedAt,Comment
2023-05-07T16:49:51Z,Arte florida sinedeporte biden poder fraude
2022-04-10T11:56:55Z,U muppis
2022-04-03T19:57:45Z,@kay... beautiful 👍
2022-03-24T03:14:28Z,Biden is the disease
2022-02-15T14:55:35Z,"Thank you for honoring freedom of expression by not deleting my post. Do any of you ever consider that by refusing to take the vaccine, you are causing deaths ... which is, taking the ultimate freedom away from others that in turn die from the virus?"
2022-02-13T02:16:46Z,The answer is the dems only use  this for is control of the people its all lies if you doint believe it than check it out truth is in front of you check it out check it out truth people
2022-01-21T03:57:13Z,"Every time I see someone in a mask, I know it’s due to politics. The whole thing about not infecting others is blatant socialism."
2022-01-20T07:32:03Z,That vice President is very very very beautiful and that Childish mellitus  is rolling out of the heart of that group .MS cupcake.
2022-01-09T15:30:05Z,"&quot;You take the vaccine the story ends, you wake up in your bed &amp; believe whatever you want to believe. You remain unvaccinated you&#39;ll stay in Wonderland, &amp; you&#39;ll see just how deep the rabbit hole goes."
2022-01-08T09:21:02Z,"Seriously, people are still buying this nonsense?  This country has been taken over.  I can&#39;t believe you don&#39;t see."
2022-01-08T06:05:14Z,"What is actually the most likely description of the WOKEVIRUS THAT NEARLY ENDED THE VERY EXISTENCE OF THE UNITED STATES OF AMERICA,  WITHIN LESS THAN ONE HE ONE YET TO THE EXTEND THAT HE STILL CAN BE A MAN WHO IS THE GREATEST DANGER OF FREE AND OPEN TO GET THE AMERICAN CONSTITUTION UNDER GOD 🙏"
2022-01-07T01:50:46Z,You people on my YouTube comment feed sound like clones spewing the same nonsense day after day. Even the so-called thumbs up seem to be fake. I really believe I have it figured out.
