PublishedAt,Comment
2023-02-28T17:59:05Z,Well that didn&#39;t age well. LMFAO
2022-11-27T05:20:04Z,"Msnbc is trash now like cnn &amp; fauci is a bizarre guy , running around like a savior self promoting himself like it’s weird almost suspect"
2022-06-17T20:34:06Z,"His documentary on YouTube had 17 million views.    11 million downvotes, and 70k upvotes.  It was the FINAL STRAW for the leftists at Google/YouTube to pull the downvote button off the platform.   To further perpetuate their narrative and to hide the truth from all to see."
2021-12-19T21:39:54Z,"&quot;They never talk about public health. They never talk about how to repurpose medication, how to quarantine the sick, how to get people to eat Vitamin D, and zinc and exercise and build their immune system. There’s none of that discussion. It’s all about how to use a pandemic as a pretense to obliterate democracy… The CIA through USAID was the biggest funder, even bigger than Tony Fauci, of gain of function studies in Wuhan, the Pentagon was second, Tony Fauci was third… The Pentagon began funnelled the money through Tony Fauci to Wuhan, $1.7 billion a year. Now it’s $2.2 billion. They also gave Fauci a 68% raise attached to his bioweapons research. That’s one of the reasons why he had to continue to do this gain of function research even when Obama told him to stop in 2014. He didn’t… Ralph Baric with funding from Tony Fauci developed the system for hiding the evidence of engineering. If you were really interested in public health you would want to do the opposite of that… That’s not what they were doing. They were weaponizing it so that it could not be traced back to when they dropped it on the world. Baric then with funding from Tony Fauci developed the system for hiding the evidence of engineering. If you were really interested in public health you would want to do the opposite of that… That’s not what they were doing. They were weaponizing it so that it could not be traced back to when they dropped it on the world. Baric then with funding from Fauci then taught that technology which he called the <b>“no-see-um”</b> technology to  Zheng-Li Shi, the Chinese scientist who was running that lab under the control of the Chinese communist party and the People’s Liberation Army… Tony Fauci funded it.&quot;<br>-Robert F. Kennedy, Jr.<br><br>batsoup 🦇🍜🇨🇳🌞<br><b>BILL GATES</b><br><b>TONY FAUCI</b><br><b>PETER DASZAK</b><br><b>RALPH BARIC</b><br><b>SHI ZHENGLI</b> <br>batsoup 🦇🍜🇨🇳🌞"
2021-12-17T03:25:44Z,FAUCIsm is marking the end of dominating science: Abraham Marlow mentioned an evolution into other dimensions on his Hierarchy of needs!
2021-11-29T04:52:08Z,"Evil little creep can&#39;t let you enjoy any holiday!!  Anytime there is a holiday, his little ferret face comes on the TV with some new virus."
2021-11-26T23:39:07Z,I wouldn&#39;t trust Fauci to study dishwater.  Complete liar
2021-11-25T19:21:36Z,You cant lie straight in bed !
2021-11-22T21:12:52Z,We the people should file a lawsuit on grounds of first amendment violations on the dislike button
2021-09-27T04:50:23Z,"Anthony Fauci is not a doctor. He should have that name taken off him. A doctor ,to my knowledge, takes a Hippocratic oath to try to their best ability, make people’s health better. This man does the opposite."
