PublishedAt,Comment
2023-09-18T15:53:23Z,Compilation of democrats saying they will not take COVID jabs
2023-09-17T21:33:47Z,"<a href=""https://www.youtube.com/watch?v=0BSy4xWwf6Y&amp;t=1m00s"">1:00</a> Typical politician... won&#39;t really answer the question... just continues to deflect about some stupid crap that Trump said.   And then he wonders why a lot of people didn&#39;t want to get the COVID vaccines when they came out.  I just don&#39;t get why people within the industry don&#39;t &quot;call  out&quot; their BS-biased coverage of this.   Here we are in Sept of 2023 talking about mask mandates and lockdowns again... just in time for the next presidential election."
2023-08-28T22:43:26Z,Show me a tape of Trump saying that about bleach.
2023-08-14T04:53:16Z,"&quot;If you have to be persuaded, reminded, pressured, lied to, incentivized, coerced, bullied, socially shamed, guilt-tripped, threatened, punished and criminalized … If all of this is considered necessary to gain your compliance — you can be absolutely certain that what is being promoted is not in your best interest.” ~ Ian Watson"
2023-06-09T22:59:57Z,"Its simple: we (the pawns of the world) were lied to. Lies. In feb of 2021 i had an appointment to get vaxed. I arrived,  then i decided no. I left. Got covid jan 2022 yes. At 69. Not fun. But im fine lol"
2023-03-02T05:34:53Z,Masks work but people are too stupid to wear them.
2023-01-23T07:39:47Z,"That headline says “The Vice President and The People”, but where are the people at. It’s all a sham"
2022-12-31T22:26:44Z,Fuken answer the question already!
2022-12-30T14:00:48Z,"Wow Joe, nothing you said came true. He never said Bleach in the context you all think he did. You all called Ivermectin &quot;Horse medicine&quot;. Now scientists ARE saying Ivermectin can be beneficial to the treatment/protection of the virus as Trump did 2 years ago. He said you&#39;d all destroy America with forced mandates and lockdowns. Which we now know did not benefit anyone and John&#39;s Hopkins said it may have made the virus WORSE. Trump even said Russia would cripple Germanies energy if they went that way. So Trump was right all along? And you Dems actually voted for the ones lying to you. Not sure how else to put it. And before you say &quot;We didn&#39;t know&quot;. That the point. You didn&#39;t know anything purposely. Ya&#39;ll do know everything the left media and Biden told you was wrong? Russia-gate was wrong too."
2022-12-30T07:08:43Z,And the vaccine was ready before the end of that year and there was a plan
2022-12-29T17:21:34Z,"<a href=""https://www.youtube.com/watch?v=0BSy4xWwf6Y&amp;t=3m45s"">3:45</a> he gives an example of how tyrannical overreach is successful.<br><br>Wish i could have been present here to blow my Ecig vapor through the mask that doesn&#39;t block water molecules coming through it either direction, right into his face - then explain how viral loads are smaller than water molecules.<br>&quot;Follow the science&quot;"
2022-11-09T22:42:24Z,"I notice there is no support for Biden in these comments under this liberal media video. This isn&#39;t fox. It isn&#39;t onn. So where are all the &#39;vaccine&#39; supporters? <br>I think there&#39;s way fewer of them than the media is telling us, and this is one of the reasons this platform it rid of &#39;dislikes&#39;, and why many news outlets don&#39;t allow comments."
2022-09-05T12:06:12Z,"Amazing how the left continues to push vaccines on the American people, but they won’t be responsible for anyone harmed by the vaccine. They literally do not care what happens to you after the shot. It’s dangerous and evil"
