PublishedAt,Comment
2023-10-11T21:17:00Z,Yep he said it a no-brainer alright
2023-09-02T20:23:01Z,Whos sean penn?
2023-09-21T16:05:13Z,"<a href=""about:invalid#zCSafez""></a>"
2023-03-03T09:59:50Z,Sean Penn is an enemy to the people. Cabal
2023-02-15T19:13:47Z,2 years on - now is the time for all these &#39;actors&#39; including this Penn person to apologise to the vaccine injured and the families of the &#39;died suddenly&#39;.  Why do the &#39;actors&#39; believe they are anything special?  They may play doctors/scientics but please somebody tell them they lie for a living (pretending to be someone they are not!!
2023-01-06T23:20:27Z,LMFAO!!
2022-12-29T17:02:41Z,"This Guy is always stoned on something He is now stoned on power, and hatred of those who resist tyranny Quite stunning to watch this communist out in the open, I&#39;m suprised he isn&#39;t calling for death camps"
2022-12-20T19:16:25Z,Go to Hell loser.
2022-12-13T22:12:36Z,What a complete Cnut.
2022-04-10T20:20:14Z,Owns stock in Pfizer.
2023-09-21T16:05:35Z,"<a href=""about:invalid#zCSafez""></a>"
2022-03-27T01:55:42Z,"Spicoli, Thanks For Sharing Your Pizza With Everybody."
2022-01-31T04:56:48Z,"So now spicoli is shilling for big pharma, can&#39;t stand the guy, don&#39;t watch anything he&#39;s in and don&#39;t care if he goes broke because of this.  What an asshat."
2021-12-22T02:21:05Z,&quot;Sean penn&quot; who?? Isn&#39;t he the &quot;drug addict&quot; that tried to act? I don&#39;t know.
2023-09-21T16:05:56Z,"<a href=""about:invalid#zCSafez""></a>"
2021-11-06T15:46:45Z,"sean penns days are numbered. wolf in sheeps skin, will never outrun the forces coming for you head boy"
2021-09-03T12:23:44Z,Sean is a 🔧
2021-08-30T01:16:32Z,If Sean Penn says it&#39;s a good idea...I know it&#39;s utter shite.
2021-08-24T19:49:14Z,"Message to Sean Penn! great work. Maybe you could help Joe Biden get the southern border under control, as covid-19 comes across the Southern border rapidly? Maybe you could get Joe Biden to stop that!!!!!!!!!!!?"
2021-08-24T09:56:12Z,"<a href=""http://www.youtube.com/results?search_query=%23mandatepennhanghimself"">#MANDATEPENNHANGHIMSELF</a>"
2021-08-22T01:44:45Z,"The only thing this Hollywood Moron is concerned about, is his on going decadent self centered lifestyle. I&#39;m waiting for the next you tube video, with more Hollywood Morons like Penn. This time singing about Vaccines. No doubt it will be as pathetic as last year&#39;s video when Hollywood Morons were singing Imagine by John Lennon. That was meant to make us all feel better. Sean Penn should stick to just being a weirdo."
2021-08-12T06:36:26Z,Or the vaccine.
2021-08-12T06:31:29Z,God forbid they might have different views on covid then you do.
2021-08-12T06:20:06Z,Black list people just like your dad was black listed very mature.
2021-08-11T22:06:33Z,Screw penn...send that commie to venezuala.he praised Maduro...that dictator failed
2021-07-23T16:28:39Z,"There was a rumor goin&#39; round that Sean Penn went to Penn in Philadelphia. WRONG!! He went to school in the state of HibIscus, heh heh heh, AT A SCHOOL CALLED &quot;YOUR FATHER&#39;S MOUSTACHE UNIVERSITY!!&quot; UH HUH!!"
2021-02-03T18:31:44Z,Hes lame af ....lmao power house movie star !!!!<br><br>Hes a traitor hanging out with Twitter dorsey who pissing on free speech....ill bet he wouldn&#39;t like it if his interview was suppressed on all the cable outlets simply cause we deemed it mis info.<br><br>Hes lame
2021-01-21T11:57:33Z,Celebrities Only Make Believe they&#39;re helping... they are professional BS artist
2021-01-21T05:38:59Z,I like that hat
2021-01-04T10:12:01Z,Send------ American coffee for poor country...... Arif
