PublishedAt,Comment
2020-08-30T02:19:57Z,I know so many who loves CNN because it validates their hate feeling of Trump.
2020-08-28T18:58:49Z,How Dare YOU
2020-08-22T13:57:07Z,The Democratic Party I use in communist tactics using CNN to Spencer the truth lying to the American people cuz I can&#39;t go out and vote but you can Define damask and you go Democrats don&#39;t want you to know there&#39;s something called the absentee ballot so you can vote they don&#39;t want you to use it they want you to use theirs so they could use the names of those who passed away so you can believe it was an honest president election God bless you and God bless America
2020-08-18T12:39:58Z,We&#39;re all can talk to hide the truth 🙂<br>As long as we need .We have pandemic an covid 19we can sale<br>Story easy and  get away power<br>&amp; People money we don&#39;t know<br>Anymore what to believe who has<br>Right who wrong.
2020-08-11T08:33:17Z,I love this guy
2020-07-24T02:16:32Z,"I would prefer to follow logical common sense ideas, solutions for solving problems, rather than what the idiotic interlectual morons in the radical left and ruling mainstream media class."
2020-06-28T06:00:21Z,"they had a poll yrs ago...before Obama...asking the parties &quot;if Satan were your candidate, would you vote for him?&quot;  34% of Dems would vote for the Devil (only 18% of the GOP would vote for Satan...)"
2020-06-28T05:55:00Z,Greta also said she&#39;d had Covid 10 days before the CNN townhall. ...that means that she&#39;s still contagious during the town hall....and she had no mask.
2020-06-28T05:52:14Z,i&#39;m SO disappointed in Anderson Cooper...he used to actually be a journalist.
2020-06-23T03:33:52Z,Why don&#39;t you go ask &quot;China&quot;....😱😵😁😁😁😀😀😂😂😂😀😀😁😁😁😂😂🤣🤣😆🤣🤣😁😁😀
2020-06-23T03:32:27Z,😂😂😂😀😀😀😂😂😂😁😁😁😀🤣🤣😆😆😁😁😁😆🤣🤣😂😂😂
2020-06-22T23:34:17Z,Fake news is just SO jealous of &quot;PRESIDENT TRUMP!!&quot;
2020-06-18T10:59:01Z,Ok. Pilsberry doe boy...you can ask CHINA
2020-06-15T08:44:23Z,"Oh yeah, SKat - who was on Twitter last night blaming cops for killing a man who had a high blood alcohol content, fought physically with cops, stole a taser, ran away from cops but then turned and fired on them.  right, I care what she thinks."
2020-06-15T08:36:22Z,Oregon  4.3 million people.  159 deaths.
2020-06-14T15:28:28Z,The Cuomos are pathetic
2020-06-13T12:08:14Z,Those fake news outlets are only reporting fake news in hopes some stupid republicans would buy there outlets from them because their losing money !!!! . So if they pi- - us off enough we will fall for it !!!! . Go get Obama to buy it with the money he stole from the American people !!!!
2020-06-09T21:00:06Z,HE ONLY SAID ASK CHINA. EVERYBODY SAYING CHINA&#39;S FAULT.
2020-06-09T16:51:33Z,Cuomos - BUTTHEAD &amp; BEVIS !
2020-06-08T03:13:30Z,Uh yeah fox news first you tell us that it&#39;s a hoax and now tell us it&#39;s the media fault for not reporting on it yep more fake news
2020-06-08T02:13:41Z,"That ghost though. The dead vote for Dems, no?"
2020-06-05T06:50:26Z,"<a href=""https://www.youtube.com/watch?v=24eJqiOufNA&amp;t=03m16s"">03:16</a><br><a href=""https://www.youtube.com/watch?v=24eJqiOufNA&amp;t=08m16s"">08:16</a><br><a href=""https://www.youtube.com/watch?v=24eJqiOufNA&amp;t=06m56s"">06:56</a>"
2020-06-04T19:05:06Z,GUTLESS  THE LOSER
2020-06-04T02:28:58Z,Greg! Stop it with the Juan.
2020-05-28T03:27:14Z,"Lockdown... I&#39;m getting nervous.<br>My wife is digging a grave outside.<br><br>I&#39;m the most obnoxious...and thus, very worried"
2020-05-27T05:24:02Z,"OMG...liberal hypocrit, notice she took her MASK off..."
2020-05-26T23:56:44Z,"According to Wikipedia Greta only has a mother, no father.  I find that extremely odd. Since dad qualified for his own imbd page.  When I look for Svante Thunberg info gets scarce, while Google sends me to mom &amp; sister pages.<br><br>Something is being hidden. And it&#39;s not that Greta is the spitting image of her father, poor thing."
2020-05-26T01:28:15Z,"Please tell me how Greta has so much money?  I thought she was a ordinary, everyday teenager."
2020-05-25T22:25:35Z,Except it came from CHINA
2020-05-25T22:25:14Z,We Don&#39;t Know Jack is CORRECT
2020-05-25T14:48:24Z,I will never play raid shadow legends. I just needed to say this.
2020-05-25T05:10:48Z,They got Your Money Now they want &quot;TOTAL CONTROL&quot; Example : You consider yourself Adults then why is it against the law as a responsible Adult sitting in the back seat of an Automobile not being able to have a bottle of beer if the driver is not drinking or never drinks ?????  This is how you let them in... Laws never come off the books they keep adding more and more and more and more and more &quot;TOTAL CONTROL&quot;...
2020-05-25T00:26:32Z,"Smoke another rock! CUOMO and CUOMO are IGNORANT Bleep, bleepity bleeps!! 😂"
2020-05-24T07:00:40Z,"The media credibility here is what went missing.  Futile media shills ignored that in the USA 7,600 people before covid19 die on average every day. In the world before covid19 151,000 people die every day."
