PublishedAt,Comment
2020-10-13T08:15:12Z,"All the people in comments who denounce Fauci&#39;s expertise and analysis, these individuals are delusional and so bias to their own pov, that they cannot even be reasoned with despite the all the data and even Trump becoming infected with covid-19. As it goes, the following applies... &quot;You can&#39;t use logic to dissuade someone who didn&#39;t use logic to reach their viewpoint in the first place.&quot;"
2020-08-07T08:03:03Z,"Even if a vaccine came out tomorrow...it&#39;s no thanks to him! That would just mean that despite him doing everything wrong....the scientists came through. All the unnecessary deaths that happened because he chose to give a contract to his buddy to make the test kits instead of buying the available ones from Germany in January . Trump got a big cut  off money that was supposed to go for covid, his buddy got rich &amp; never produced a working test &amp; the covid horse got out of the barn. By the time private companies stepped up to make tests that worked.....it was too late to do anything but shut the country....then trump has his cult protest to open everything up too soon. We&#39;ll thank the scientists, but never forgive this murderer."
2020-08-06T21:53:23Z,"Trump threw these companies together in an attempt to make the vaccine about corruption, just so it would hold his interest. Jees that is sad....<br>Putting out a rushed vaccine just to gain political pole points has got to be criminal. Oh, yea, that is m point.<br>With everything criminal about Trump; is anything criminal about Trump?"
2020-08-04T22:46:31Z,Free tinfoil hats for all the &quot;experts&quot; in the comment section
2020-08-04T00:22:56Z,Trump supporters we should take bleach!
2020-08-01T16:53:00Z,"Even if you give vaccine to people, Anthony, what about the alleged asymptomatic people? eh? If they&#39;re asymptomatic, you&#39;re not going to know if the vaccine works if the person hasn&#39;t shown any symptom."
2020-08-01T16:49:13Z,"Basically, he&#39;s telling you right to your faces that some of those vaccines are bullsh!t. This is why I don&#39;t trust it."
2020-08-01T16:46:57Z,"Considering this will be a <b>TRIAL VACCINE</b> , that&#39;s a nope from me. He can stick that vaccine where the Sun doesn&#39;t shine! And no, there will not be forced vaccination. It&#39;s <b>MY</b> body."
2020-07-31T23:42:15Z,Anyone who takes this vaccine in which will contain a microchip will be the ones who would definitely drink the Jim Jones juice
2020-07-31T16:17:25Z,Anthony Fauci brings us hope. That is why he is trusted.
2020-07-31T16:13:06Z,Check his share holdings.
2020-07-30T20:47:17Z,Crookedness emitting from his face.
2020-07-30T20:27:34Z,SuperRacistMasogonisticFascistPigNeurosis - SuperCalifragilisticExpialidocious
2020-07-30T18:51:27Z,What about hydroxychloroquine? Why aren’t you talking about treatment other than a vaccine?
2020-07-30T15:04:43Z,"Here&#39;s the guy who should have been running the U.S. pandemic response since Day 1.  Instead, he was silenced, ridiculed and made an enemy of the White House.  All because a sociopath wants to be reelected more than he wants to save the lives of those who elected him."
2020-07-30T14:59:55Z,"Oh no, the boogeyman of facts &amp; logic here to chip away at the collective intelligence of the morons who watch Fox."
2020-07-30T14:07:15Z,Fauci once you explain why you have not personally self vaccinated 💉⚕️☣️ you are allowed to talk to poisoning⚕️ 🐑💉☣️💰 misinformed sheep 🐑 for profit 💰
