PublishedAt,Comment
2021-03-19T15:25:31Z,"Locked down  here we come... again, again.  Lol. It&#39;s a on going  thing. We get hit hard, it slows down,   the more we open,  the more it rise, then back to shutdown.  It&#39;s no cure.  So it&#39;s going to be that way for awhile"
2020-12-13T19:28:21Z,The vaccine allows more flexibility.. but at this point nthe result will be the same with or without it . HERD IMMUNITY ETA IS THE SAME
2020-11-18T05:17:46Z,"450,000 Americans died in ALL the wars fought in the 20th century.  More than 450,000 Americans will die from COVID.  It ain&#39;t just a flu."
2020-11-09T16:17:28Z,"The Republicans are just trying to shore up Social Security by knocking off as many recipients as possible using coronavirus. This is part of their long term policy of same by making it hard as possible to get health care. This is standard Republican policy of trying to keep things solvent no matter the cost. You can see this in looking at the statistical data on life expectancy. They can&#39;t tell their base this because they would have to admit Darwin&#39;s survival of the fittest, which would conflict with the Biblical story. However it is purely statistical  and science based so they are secretly proud of their efforts and the success of their methods."
2020-11-03T06:56:46Z,The people. Once the information was made public we should have done our part. Instead people deliberately ignore the solution
2020-10-09T22:28:02Z,Who is supposed to protect Americans if only there was a job where you where supposed to protect and serve the county 🤔 a leader of the free world we can count on?
2020-09-28T04:45:57Z,blaming is not helping the current situation....what a waste of time
2020-09-23T02:01:32Z,"The Murdoch family is murdering Americans.  Why is this acceptable to Americans?  The answer is simply, his news (sic) organizations are more concerned serving as Trump’s personal propaganda machine.  We have to stop this now.   Boycott advertisers on Fox News and all products from Australia.  Divest all holdings of News Corp."
2020-09-12T08:10:16Z,"Blame the US Government, Bill Gates, the World Health Organization, and Main Stream Media, corona is not real"
2020-09-10T01:29:06Z,And still the Evil Evangelicals praise Trump.
2020-09-06T02:28:19Z,"&quot;A lot of people think [...] it looks like by April, you know, in theory, when it gets a little warmer, it miraculously goes away -- I hope that&#39;s true...&quot; DJT, February 10, 2020"
2020-08-23T21:31:24Z,Trump needs to stop calling names and start acting like a grownup and lead. Stop acting like a baby!! Pilots among others are getting laid off and the Republicans are taking vacation instead of getting the heals act signed!!
2020-08-23T21:29:16Z,"Trump virus is Trump&#39;s fault. Trump did nothing to control it and he did not do anything to help the economy. If Trump was in charge of ebola instead of Obama, we would all have been dead. Trump needs to take responsibility and stop blaming everyone else. It has been our problem for many months now. He should have controlled it in the beginning."
2020-08-21T16:18:12Z,Donald Trump. Period.
2020-07-31T23:14:10Z,Trump needs more voodoo and witch drs in this covd fight
2020-07-28T00:12:49Z,You killed it✨🌈✨ try yourself next time🧚‍♀️💜✨
2020-07-23T16:50:30Z,"For sure Trump, the leader of the country. The person downplaying the virus from the start and refusing to wear a mask is absolutely not at fault here. At all."
2020-07-23T01:06:14Z,"I&#39;m in Canada.  Stores here are enforcing &quot;social distancing&quot; and the number of people allowed in but not the requirement to wear masks.  However, here, many Canadians are choosing to wear a masks anyway but if a store did have a requirement that you wear a mask we would adhere to that. Please America, scientists and doctors know more than your politicians."
2020-07-20T10:25:33Z,Seriously they are trying to pretend that FOX news has no idea why America has fared so poorly compared to other countries- Blame the wilful negligence of the president.
2020-07-19T19:06:20Z,"Thousands of people are unnecessarily dying because no one can get through to  trump that massive testing will LOWER the number of covid cases. IF WE KNOW WHO HAS IT WE KNOW WHO TO ISOLATE TO STOP THE SPREAD. There is a great graph on the NY curve where they superimpose the amount of testing with the number of cases, and as the testing goes up the cases go down. The problem with this virus are the asymptomatic people who are infected running around without masks at mass gatherings! I&#39;m a nurse in AZ &amp; if I hear one more positive patient say....duh...I wish NOW that I had taken this seriously...wow! As for blaming the Chinese, Trump fired the medical spies embedded in china 4 months before the pandemic...they were our eyes &amp; ears there for the sole purpose of telling us when disease was coming out of there.....its not Chinas fault he did that! China is secretive, we knew that, that why the spies were there, we didnt know about the pandemic sooner....because trump fired them...ask Dr Lina Quick...the last to go. There is no excuse for people to chose to be misinformed in a free press society. He is lying .....get off FAUX &amp; Do your research."
2020-07-19T06:17:54Z,"Just look at Fox &quot;news&quot; coverage of the virus at the beginning of the outbreak. Who&#39;s to blame? Well, you are Fox news, you are."
2020-07-18T21:19:46Z,The Minister of Health is a difficult profession today. Brazil has changed its minister 3 times for the last 3 months.
2020-07-16T17:04:59Z,"Democrats: If we keep fudging the Covid numbers, we will win through mail-in voting!<br>Patriots: Of course you need to resort to cheating, because we&#39;re sick of this sh*t."
2020-07-16T05:39:00Z,"It all Hillary fault, she did not win the Presidency."
2020-07-11T15:29:32Z,Trump and his idiotic leadership.
2020-07-09T03:34:35Z,Trump says wearing masks feel like doing it with rubbers
2020-07-05T08:58:47Z,What’s up?! Great job on the channel.
2020-07-05T00:44:28Z,Why is Fox news pushing Coronavirus fear?
2020-07-04T18:07:17Z,Don&#39;t worry somehow this virus will disappear.
2020-07-04T17:40:12Z,FoxNews should be held accountable for disinformation.<br>🤔 . . .🇺🇲
2020-07-04T16:58:26Z,Typical Fox News instead of finding a solution you want to find someone to blame. Well now you can blame Herman Cain he&#39;s got the virus and has been at several rallies as well without a mask.
2020-07-04T06:46:20Z,"27th February 2020<br>Confirmed US cases: 60<br>Confirmed US deaths: 0<br>Trump - &quot;It&#39;s going to disappear one day, it&#39;s like a miracle, it will disappear&quot;<br><br>2nd July 2020<br>Confirmed US cases: 2,835,684<br>Confirmed US deaths: 131,485<br>Trump - &quot;I think that at some point that&#39;s going to, sort of, just disappear, I hope!&quot;"
2020-07-03T18:19:09Z,I 🥺 don’t 💕 see😌 how 👁 you 👽 can🤦‍♂️hate 😜 from🧚‍♀️my 🥳 side👄 of 🖤 the😈 club😹 you 🗣 cant👅 even 💅 get 🕴🏽 in
2020-07-03T13:54:33Z,Topic asks whos to blame. I&#39;ll tell you whos to blame and that&#39;s China!!
2020-07-03T11:46:26Z,"Stop politicizing SARS-CoV-2. Tell your viewers the virus is not fake, overblown, or a liberal conspiracy. Do the right thing and stop endangering lives."
2020-07-03T01:31:30Z,Oh Corona virus....is a dem Hoax
2020-07-01T19:02:25Z,Man i can&#39;t stop lookin at her mouth.
