PublishedAt,Comment
2021-02-22T16:47:07Z,"He&#39;s still convinced he&#39;s actually the president lol...why not 6 masks? Why not 6 masks, rubber underwear, gloves &amp; big purple dildos glued to our foreheads !!!! Stupid"
2021-01-18T04:43:05Z,"How&#39;s your face diaper treating you, Ol&#39; Joe?  Keeps you from your sniffing ways."
2021-01-12T20:44:21Z,I don’t see why this is a problem. Wearing masks can help slow the spread.
2020-12-11T21:20:37Z,"Make them mandatory. If people were encouraged not to speed above 100 mph or drink and drive, no  one would do it. Just a fact"
2020-12-05T03:24:42Z,That&#39;s his big plan?  OMG
2020-12-05T03:14:01Z,Biden can shove his no science mask.  The vaccine too.
2020-12-04T00:20:02Z,To you anti-maskers... Think of wearing a mask like putting a sneeze guard over the salad bar. Perfect? No... but better than having been directly coughed on.
2020-11-30T18:11:54Z,BIDEN IS NOT PRESIDENT ELECT!!😡😡😡
2021-01-17T04:45:40Z,He’s officially president!!
2020-11-27T17:17:59Z,"if you still don&#39;t think Masks help stop the spread of Covid (not stop, cure or even treat), you can test it yourself.... Put your fingers about 2 inches in front of your mouth and blow with and without a mask.  If there is a difference in airflow, the mask is working. .."
2020-11-16T14:03:03Z,"People should be wearing their mask 24/7, even while sleeping and taking a shower."
2020-11-15T05:29:59Z,I hardly ever see anyone without a mask. Everyone seems pretty good about it even without a mandate and numbers are still rising. If masks really work then something isn’t adding up.
2020-11-15T03:21:56Z,How come the more they mandate mask the more cases go up? How many times do you walk in a business and are told at the door you need a mask just to look up and see an employee wearing a mask incorrectly or not at all
2020-11-14T10:23:43Z,We currently have mandatory masks in Melbourne Australia. For about two weeks now we&#39;ve had 0 new Covid cases in the state of Victoria.
2020-11-13T18:00:07Z,This mask mandate made by Sleepy Joe and Commie Harris is almost a form of dictatorship.
2020-11-13T01:19:14Z,All about NEWSMax TV. Fox is trash
2020-11-13T00:49:39Z,Trump said do not watch Fox News anymore. Conservatives are watching Newsmax now.
2020-11-12T23:13:37Z,"Biden is a loser, always has been. Could have done more in his political career, and now we have an idiot for president"
2020-11-12T13:21:15Z,"The more people that die from the china virus, the more voters the democrats will have"
2020-11-12T12:48:41Z,Qtards alert!
2020-11-12T09:41:43Z,And who is going to enforce this? The same police the left wants to defund hahaha
2020-11-12T05:00:50Z,Mask gun time lmao
2020-11-12T03:28:44Z,"Just out of curiosity, and I&#39;m not trying to fight anyone, but why are people so against masks? In my opinion, it&#39;s just a cloth that keeps your bodily fluids in so that you don&#39;t spread it to others. There is no evidence they cause detriment to oxygen levels and doctors wear them all the time. Plus, many other countries have been wearing masks for years due to other outbreaks in the past. I understand they can be uncomfortable and sometimes they muffle your voice, but overall they are more helpful than anything. I work a 8hr job with no trouble wearing a mask, so I don&#39;t see the point in making a fuss? If someone can explain that&#39;d be great :D"
2020-11-12T03:24:06Z,Good we need a National Mask Mandate. 😷😷😷😷😷😷😷😷
2020-11-12T02:10:15Z,No Fox anymore! Disney bought everything! Garbage 🤢
2020-11-12T00:34:31Z,Where will Trumpies go now? LOL bunch of outcasts that will soon go live in the sticks where they belong.
2020-11-12T00:19:38Z,"FOX News = Traderous, Treasonous, RAT Bastards!!"
2020-11-12T00:11:50Z,FOX NEWS ARE AMERICANS EQUIVALENT TO MONTY PYTHON
2020-11-12T00:04:50Z,oh no a health measure to save lives must be aconspiricy oh yeah it is not a pandemic its a hoax that went in april oh yeah all those americians who died were socialist stooges dying for communism.
2020-11-11T23:39:49Z,"The Electors have not met and have not voted on the next President, therefore Joe Biden is not President Elect.<br><br>A Federal Mask Mandate is Unconstitutional but then again you and the rest of the puppets in the media are all about giving all power to a central government. People will regret voting for Joe Biden....things are only going to get worse not better....they&#39;ll be begging Trump to run in 2024 and fix Joe&#39;s messes....."
2020-11-11T23:37:59Z,Fox News is now corrupt. As we all know Joe Biden is not president elect as yet has not officially been announced. By the proper authorities. News channels do not decide on who the president will be. Shame on Fox News.
2020-11-11T23:34:55Z,"Fake news, he’s not our president. Go to Newsmax, Fox sux."
2020-11-11T23:22:43Z,"The president has no authority to mandate masks, where Did anyone get the idea he could do such a thing?"
2020-11-12T00:54:29Z,@Harlem Chavez because the federal gov has jurisdiction over the borders
2020-11-12T14:52:49Z,@Harlem Chavez The random control trials show the opposite. Hope that cool-aid tastes good.
2020-11-11T23:17:54Z,"I love seeing Trump supporters CRY, it&#39;s my daily medicine, my weekly energy, my monthly inspiration and my yearly motivation. Their loss is the only reason i&#39;m still alive, i was born to love and enjoy the failure that they have achieved."
2020-11-11T23:17:36Z,He&#39;s not president-elect. Stop your ignorant and treasonous reporting.
2020-11-11T23:15:45Z,"As he should. Every other country did that and they barely have any problems now. <br>You&#39;re a fool if you think we shouldn&#39;t because we have &quot;freedom&quot;. There&#39;s 200 countries in the world with freedom, but we just have stupidity here in America"
2020-11-11T23:13:43Z,"Last time I checked, he’s not President Elect yet."
2020-11-11T23:11:27Z,Trump: Leaves mask mandates to Governors and local officials.<br>Left: Dictator!<br>Biden: National mask mandate regardless of Governors or local officials decision based on situation.<br>Left: President-Elect!
2020-11-11T23:11:27Z,"Biden was not elected and everyone knows it, lol."
2020-11-11T23:10:07Z,Mandate masks. You mean the thing we have been doing for months. That’s a brilliant idea what’s next social distancing and limit going out. BRILLIANT. so a little behind but brilliant.
2020-11-11T23:09:20Z,Lol who elected this guy 🤣
2020-11-11T23:38:45Z,@Harlem Chavez it shows
2020-11-12T00:28:59Z,@Harlem Chavez forhead cant be too prominent if it was you’d know that you didn’t elect biden. You may have voted for him but he has yet to officially be elected
2020-11-11T23:06:05Z,3 cheers for the dictator biden!<br><br><br><br><br>🖕🏼 🖕🏼 🖕🏼
2020-11-11T23:05:02Z,He can propose he&#39;s going to be President too... But that&#39;s not going to happen.
2020-11-11T23:04:41Z,Was fox bought by cnn?
2020-11-11T23:03:37Z,Biden 2020
2020-11-11T23:03:25Z,Stupid the media does not elect a president he’s not president elect dumb assess
2020-11-11T23:01:19Z,Let go Trump 😎👍
2020-11-11T23:01:03Z,Election isn&#39;t  over. Nitwits
2020-11-12T00:11:06Z,In December  dingdong
2020-11-12T02:49:12Z,@Harlem Chavez  so so what your saying is The Electoral college  hasn&#39;t  voted. JUST MAKING  STUFF UP. FAKE NEWS DOES NOT DECIDE  THE PRESIDENT. LOTS OF FRAUD THIS ELECTION FROM THE DEM SIDE. ALSO RECOUNTS IN MULTIPLE  STATES. LAWSUITS  IN OTHERS. DBAG!
2020-11-11T23:00:37Z,First that then taken your freedom.
2020-11-11T22:59:16Z,Lol come  try to make me wear a mask.
2020-11-11T22:59:13Z,Sleepy Joe is causing a civil war.
2020-11-11T22:58:37Z,Long time watcher of Fox but I just unsubscribed
2020-11-11T22:57:14Z,"Ingram, Carlson and Hannity are just opinionators do the right thing and wear a mask and grow up!"
2020-11-11T22:55:36Z,In Four months from now when he takes office?
2020-11-11T22:54:44Z,I hope FOx news and all ya&#39;ll demoncrat supporters use the down votes on this page to see that if ya&#39;ll think another lockdown is gonna go without a challenge ya&#39;ll bugging.....
2020-11-11T22:53:03Z,He can&#39;t do that.
2020-11-11T22:53:02Z,Executive Orders? No time to wair for the legislative process? Now thats a red flag
2020-11-11T22:52:23Z,Enjoy Biden
2020-11-11T22:52:01Z,"I can’t wait for them to start reversing all of Trump’s executive orders. And then when we gain control of the senate, we will work to turn these into law"
2020-11-11T22:51:54Z,Fox you couldn&#39;t suck more
2020-11-11T22:50:20Z,Nope. Pro choice on masks. End Abortion and I&#39;ll put one on. Thx
2020-11-11T22:50:15Z,Great to see Fox news giving respect to Joe Biden
2020-11-11T22:50:05Z,"Why is everyone surprise here? WHY? Biden had already stated that waaay when he first started his campaign going. The only difference here is, he and everyone else forgot, nothing can be imposed until January..."
2020-11-11T22:49:54Z,"Now fox turned into CNN now really I’ve been watching Fox for years now Fox is fake news...only fake news said Joe Biden is president elected, Americans people have the right to know from United state of Supreme Court...I believe President Trump is the one won the election...."
2020-11-11T22:49:01Z,Its kinds funny watching these comments 🤣 trying to overturn an election
2020-11-11T22:48:47Z,You antimaskers are killing people and fueling this upcoming second wave like warm water to a tsunami.
2020-11-11T22:48:36Z,Unsubscribe from fox !
2020-11-11T22:48:08Z,Mask mandating is just wrong.
2020-11-11T23:04:06Z,Bernisa Giselle Piccarillo agreed
2020-11-11T22:48:07Z,Yes Biden! The chosen one! God does answer prayers! The country is safe again!
2020-11-11T22:47:41Z,"Public health laws and enforcement are granted to the States and the States responsibility to enforce them and ensure the citizens are protected.  States are responsible for preparing, planning and executing all public health concerns. Period.  The Feds do not have the authority or power to to anything to ensure public health policies are carried out.  FACTS.  Yet the Liberals, Dems and MSM still think the President could mandate masks or act in a manner to enforce public health safety. This is covered under the 10th Amendment to the Constitution.  Had the Left educated themselves on this little matter of power and MSM informed the public of how this works, we would probably be in a better position than we are now.  Blame the Governors, not the President."
2020-11-11T22:47:31Z,But I will I express my freedom by spreading covid?<br><br>Oh right! None of y&#39;all ever wore them in the first place.
2020-11-11T22:47:22Z,Excuse me but aren&#39;t those things supposed to be left to the governors????? Isn&#39;t that what the lefties have been screaming at Trump everytime he wanted something? And P.S. Biden hasn&#39;t won yet and FOX SUCKS.
2020-11-11T22:47:22Z,I love watching the party of lies imploding on itself and Fox News 🍿🍿🍿   Got a front row seat.  Four years of Trump lies and now no one can keep up with what the lies are anymore 😂🤣
2020-11-11T22:47:06Z,"Hey FOX (fake news) I am impressed how CNN took you over so quick.  Well my family and myself will no longer support your channel or anything you have to say.  Nah na nah na nah na nah na ,hey hey hey 👋  good bye👋👋 oh ya!  🖕Biden and fox."
2020-11-11T22:47:05Z,so sad to see how many people in our country are against the one thing that is proven to help this pandemic
2020-11-12T05:05:55Z,awww did you tv tell you that?
2020-11-12T19:07:47Z,"@@ph4ntomsoldier no, science did."
2020-11-12T19:11:29Z,@@leppogeko Your science is a lie and you&#39;re gullible.
2020-11-14T02:25:45Z,"@@ph4ntomsoldier Think what you believe- but your president had coronavirus and gave it to his whole family because he doesn’t wear a mask.. have a good night and god bless Biden’s  America. PS, try to blow a candle out with a mask on and get back to me."
2020-11-14T14:14:52Z,"@@leppogeko think what you want but I don’t vote for or affiliate with any presidents, political parties. I choose to investigate and use critical thinking. Masks are useless, germ pores are smaller than holes left exposed in masks. Unless you’re wearing a full hazmat suit, you’re attempts are futile. It’s a control mechanism."
2020-11-11T22:47:03Z,So let me get this straight.. trump declared a national emergency to build a wall but not to prevent the spread of covid? Get that clown out of here
2020-11-11T22:46:08Z,Media elect Biden will never be president
2020-11-11T22:45:45Z,F faux news!
2020-11-11T22:45:31Z,Joe Biden == fraud and deep state corrupt maggot. NOT MY PRESIDENT.
2020-11-11T22:45:29Z,China jos is such a buffoon
2020-11-11T22:45:29Z,Mandatory mask and mandatory vaccine? No thanks 😂
2020-11-11T22:45:20Z,The only cabinet Joe Biden&#39;s going to be filling is the one full of Metamucil and Geritol.
2020-11-11T22:45:08Z,"Joe Biden is NOT President elect, READ THE CONSTITUTION FOX...."
2020-11-11T22:45:08Z,The Senate could block all of Biden’s appointments; assuming the RINO’s don’t cut and run.
2020-11-11T22:44:45Z,"already have mask mandate, why do u think everyone is wearing one??????"
2020-11-11T22:44:33Z,Faux news at it again. Joe can not do anything he has now power he is not the president elect . Can we talk about some things that have been verified like  Hunter Bidens&#39;  laptop and the big guy getting 10%. How can he even have security clearance.
